datetime,open,high,low,close,volume
2019-02-15 16:00:00,170.39,170.49,169.87,170.38,2365821
2019-02-15 15:45:00,170.31,170.5,170.3,170.38,796050
2019-02-15 15:30:00,170.2,170.35,170.06,170.3,580825
2019-02-15 15:15:00,170.42,170.42,170.15,170.1956,488080
2019-02-15 15:00:00,170.36,170.4725,170.32,170.41,441815
2019-02-15 14:45:00,170.15,170.4,170.1299,170.37,427784
2019-02-15 14:30:00,170.08,170.2899,170.08,170.15,381019
2019-02-15 14:15:00,170.07,170.21,170.06,170.08,373404
2019-02-15 14:00:00,170.025,170.09,169.98,170.06,354119
2019-02-15 13:45:00,169.99,170.1,169.99,170.03,326760
2019-02-15 13:30:00,170.04,170.1875,169.97,169.97,402590
2019-02-15 13:15:00,170.02,170.08,169.94,170.03,510851
2019-02-15 13:00:00,170.48,170.5,169.99,170.0284,396932
2019-02-15 12:45:00,170.53,170.56,170.3,170.46,418990
2019-02-15 12:30:00,170.29,170.62,170.15,170.57,520134
2019-02-15 12:15:00,170.13,170.3375,169.95,170.28,417738
2019-02-15 12:00:00,169.98,170.32,169.84,170.12,480556
2019-02-15 11:45:00,170.14,170.23,169.95,169.99,545662
2019-02-15 11:30:00,170.28,170.28,169.86,170.185,983430
2019-02-15 11:15:00,170.445,170.62,170.18,170.31,665235
2019-02-15 11:00:00,170.8372,171,170.37,170.431,656691
2019-02-15 10:45:00,170.9,171.185,170.78,170.79,1256310
2019-02-15 10:30:00,170.45,170.995,170.3258,170.85,1141782
2019-02-15 10:15:00,170.52,170.6483,170.12,170.46,928518
2019-02-15 10:00:00,170.4,170.84,169.75,170.5,1601937
2019-02-15 09:45:00,171.18,171.65,170.35,170.37,4483518
2019-02-14 16:00:00,170.91,171.15,170.78,170.79,1294392
2019-02-14 15:45:00,170.68,171.02,170.58,170.91,647307
2019-02-14 15:30:00,170.53,170.7211,170.431,170.69,487630
2019-02-14 15:15:00,170.81,171.12,170.42,170.558,735867
2019-02-14 15:00:00,170.98,170.99,170.75,170.8,389458
2019-02-14 14:45:00,171.1,171.12,170.91,170.93,378823
2019-02-14 14:30:00,170.9497,171.18,170.9,171.11,370319
2019-02-14 14:15:00,170.8724,170.995,170.71,170.93,466748
2019-02-14 14:00:00,171.0669,171.0973,170.86,170.88,336974
2019-02-14 13:45:00,171.0406,171.165,171.04,171.09,336255
2019-02-14 13:30:00,171.11,171.2,170.96,171.04,394065
2019-02-14 13:15:00,171.03,171.19,171,171.1001,334388
2019-02-14 13:00:00,171.08,171.22,170.95,171.0063,416641
2019-02-14 12:45:00,170.89,171.1499,170.84,171.1,405644
2019-02-14 12:30:00,170.825,171.22,170.75,170.885,710971
2019-02-14 12:15:00,170.68,170.85,170.51,170.83,623992
2019-02-14 12:00:00,170.5,170.69,170.44,170.68,658330
2019-02-14 11:45:00,170.28,170.47,169.92,170.4619,604318
2019-02-14 11:30:00,170.25,170.38,170.12,170.24,486834
2019-02-14 11:15:00,170.61,170.64,170.18,170.24,639116
2019-02-14 11:00:00,170.26,170.8,170.26,170.56,793975
2019-02-14 10:45:00,171.11,171.11,169.91,170.24,1466342
2019-02-14 10:30:00,171.01,171.26,170.9201,171.08,836097
2019-02-14 10:15:00,170.65,171.07,170.45,171.02,1349757
2019-02-14 10:00:00,170.11,170.79,169.71,170.68,1187179
2019-02-14 09:45:00,169.8,170.75,169.4,170.12,2312981
2019-02-13 16:00:00,170.58,170.58,169.9297,170.25,2383161
2019-02-13 15:45:00,170.88,170.93,170.575,170.575,606455
2019-02-13 15:30:00,170.8,170.87,170.64,170.87,474950
2019-02-13 15:15:00,170.93,170.93,170.68,170.8,526590
2019-02-13 15:00:00,170.97,171.16,170.87,170.94,702513
2019-02-13 14:45:00,170.72,170.95,170.56,170.95,512561
2019-02-13 14:30:00,170.775,170.8022,170.6,170.695,405066
2019-02-13 14:15:00,170.75,170.825,170.7,170.79,336033
2019-02-13 14:00:00,170.94,170.95,170.68,170.73,314391
2019-02-13 13:45:00,170.85,171.01,170.7815,170.92,345754
2019-02-13 13:30:00,170.82,171,170.79,170.84,366656
2019-02-13 13:15:00,170.6238,170.9,170.61,170.83,407221
2019-02-13 13:00:00,170.85,170.88,170.42,170.63,691085
2019-02-13 12:45:00,170.78,170.94,170.65,170.82,333181
2019-02-13 12:30:00,170.89,171,170.68,170.78,366080
2019-02-13 12:15:00,170.96,171.11,170.87,170.9,551559
2019-02-13 12:00:00,170.65,170.98,170.5715,170.95,836544
2019-02-13 11:45:00,170.9697,170.9855,170.62,170.705,948469
2019-02-13 11:30:00,171.355,171.355,170.95,170.98,784014
2019-02-13 11:15:00,171.4885,171.71,171.2664,171.33,671890
2019-02-13 11:00:00,171.75,171.85,171.385,171.47,681880
2019-02-13 10:45:00,171.4,171.78,171.26,171.73,859550
2019-02-13 10:30:00,171.17,171.67,170.95,171.41,945305
2019-02-13 10:15:00,171.515,171.73,171.12,171.17,1279909
2019-02-13 10:00:00,171.94,172,171.46,171.5537,1142353
2019-02-13 09:45:00,171.32,172.48,171.1,171.9345,2672486
2019-02-12 16:00:00,170.72,170.91,170.61,170.89,1648316
2019-02-12 15:45:00,170.95,170.95,170.712,170.75,777819
2019-02-12 15:30:00,170.6543,171,170.65,170.95,713064
2019-02-12 15:15:00,170.46,170.69,170.45,170.66,562431
2019-02-12 15:00:00,170.57,170.65,170.43,170.4599,503794
2019-02-12 14:45:00,170.43,170.57,170.38,170.56,363323
2019-02-12 14:30:00,170.3652,170.585,170.35,170.43,398540
2019-02-12 14:15:00,170.52,170.52,170.27,170.355,433631
2019-02-12 14:00:00,170.44,170.65,170.35,170.52,501418
2019-02-12 13:45:00,170.2803,170.45,170.25,170.42,448855
2019-02-12 13:30:00,170.17,170.3693,170.11,170.27,398164
2019-02-12 13:15:00,170,170.2,169.93,170.1799,306883
2019-02-12 13:00:00,170.0331,170.08,169.82,170.01,407039
2019-02-12 12:45:00,169.92,170.34,169.92,170.06,643243
2019-02-12 12:30:00,169.88,169.98,169.78,169.93,934412
2019-02-12 12:15:00,169.88,169.95,169.7861,169.89,552678
2019-02-12 12:00:00,169.915,170.13,169.85,169.8795,485146
