datetime,open,high,low,close,volume
2019-02-15,171.25,171.7,169.75,170.42,24626814
2019-02-14,169.71,171.2615,169.38,170.8,21835747
2019-02-13,171.39,172.48,169.92,170.18,22490233
2019-02-12,170.1,171,169.7,170.89,22283523
2019-02-11,171.05,171.21,169.25,169.43,20993425
2019-02-08,168.99,170.66,168.42,170.41,23819966
2019-02-07,172.4,173.94,170.34,170.94,31741690
2019-02-06,174.65,175.57,172.8531,174.24,28239591
2019-02-05,172.86,175.08,172.3501,174.18,36101628
2019-02-04,167.41,171.655,167.28,171.25,31495582
2019-02-01,166.96,168.98,165.93,166.52,32668138
2019-01-31,166.11,169,164.56,166.44,40739649
2019-01-30,163.25,166.15,160.23,165.25,61109780
2019-01-29,156.25,158.13,154.11,154.68,41587239
2019-01-28,155.79,156.33,153.66,156.3,26192058
2019-01-25,155.48,158.13,154.32,157.76,33547893
2019-01-24,154.11,154.48,151.74,152.7,25441549
2019-01-23,154.15,155.14,151.7,153.92,23130570
2019-01-22,156.41,156.73,152.62,153.3,30393970
2019-01-18,157.5,157.88,155.9806,156.82,33751023
2019-01-17,154.2,157.66,153.26,155.86,29821160
2019-01-16,153.08,155.88,153,154.94,30569706
2019-01-15,150.27,153.39,150.05,153.07,28710324
2019-01-14,150.85,151.27,149.22,150,32439186
2019-01-11,152.88,153.7,151.51,152.29,27023241
2019-01-10,152.5,153.97,150.86,153.8,35780670
2019-01-09,151.29,154.53,149.63,153.31,45099081
2019-01-08,149.56,151.82,148.52,150.75,41025314
2019-01-07,148.7,148.83,145.9,147.93,54777764
2019-01-04,144.53,148.5499,143.8,148.26,58607070
2019-01-03,143.98,145.72,142,142.19,91312195
2019-01-02,154.89,158.85,154.23,157.92,37039737
2018-12-31,158.53,159.36,156.48,157.74,35003466
2018-12-28,157.5,158.52,154.55,156.23,42291424
2018-12-27,155.84,156.77,150.07,156.15,53117065
2018-12-26,148.3,157.23,146.72,157.17,58582544
2018-12-24,148.15,151.55,146.59,146.83,37169232
2018-12-21,156.86,158.16,149.63,150.73,95744384
2018-12-20,160.4,162.11,155.3,156.83,64772960
2018-12-19,166,167.45,159.09,160.89,49047297
2018-12-18,165.38,167.53,164.39,166.07,33841518
2018-12-17,165.45,168.35,162.73,163.94,44287922
2018-12-14,169,169.08,165.28,165.48,40703710
2018-12-13,170.49,172.57,169.55,170.95,31897827
2018-12-12,170.4,171.92,169.02,169.1,35627674
2018-12-11,171.66,171.79,167,168.63,47281665
2018-12-10,165,170.09,163.33,169.6,62025994
2018-12-07,173.49,174.49,168.3,168.49,42281631
2018-12-06,171.76,174.78,170.42,174.72,43098410
2018-12-04,180.95,182.3899,176.27,176.69,41344282
2018-12-03,184.46,184.94,181.21,184.82,40798002
2018-11-30,180.29,180.33,177.03,178.58,39531549
2018-11-29,182.66,182.8,177.7,179.55,41769992
2018-11-28,176.73,181.29,174.93,180.94,46062539
2018-11-27,171.51,174.77,170.88,174.24,41387377
2018-11-26,174.24,174.95,170.26,174.62,44998520
