datetime,open,high,low,close,volume
2019-02-15,177.28,178.15,175.975,177.82,2744366
2019-02-14,173.61,176.07,173.07,175.79,1832493
2019-02-13,172.43,173.84,172.09,173.7,1195947
2019-02-12,173.08,173.75,172.07,172.59,1471829
2019-02-11,172.86,173.66,172.146,172.99,1211049
2019-02-08,171.91,172.99,171.05,172.43,1294644
2019-02-07,170.33,172.4,169.83,172.01,1113626
2019-02-06,171.32,172.36,170.1,170.27,1423287
2019-02-05,170.83,172.535,169.57,172.43,1671140
2019-02-04,170.2,170.95,168.88,170.94,2846761
2019-02-01,173.15,173.15,169.5404,170.43,3446167
2019-01-31,169.79,173.95,169.25,172.84,4046133
2019-01-30,169.13,171.5,169.01,170.47,2159546
2019-01-29,167.68,169.52,167.5501,169.44,1849756
2019-01-28,166.94,168.05,165.67,168.05,1180464
2019-01-25,166.5,168.13,165.79,167.41,1482088
2019-01-24,164.81,165.8424,164.11,165.65,1275899
2019-01-23,164.51,165.8,164.34,165.79,1700185
2019-01-22,164.52,165.4099,163.17,164.68,1503935
2019-01-18,165.25,165.25,163.38,164.67,1762988
2019-01-17,163.78,164.93,163.06,164.38,1322754
2019-01-16,163.45,164.31,162.83,163.78,1495177
2019-01-15,161.23,163.32,160.63,163.05,1597062
2019-01-14,161.04,162.5576,160.85,161.4,1435420
2019-01-11,161.05,162.26,159.9,161.4,1878799
2019-01-10,159.47,161.99,158.62,161.86,1986590
2019-01-09,161.88,161.91,158.35,159.68,1797270
2019-01-08,159.78,161.13,158.58,161.09,2502666
2019-01-07,158.48,160.62,158.02,159.29,1708043
2019-01-04,158.11,160.07,157.69,158.31,2529958
2019-01-03,156.61,160.04,156.43,157.68,2467352
2019-01-02,157.11,157.11,153.93,156.74,2030598
2018-12-31,159.67,159.76,156.14,158.19,2044595
2018-12-28,159.73,161.61,157.75,158.83,1740012
2018-12-27,156.73,158.7499,153.3,158.6,1641714
2018-12-26,153.4,157.53,150.665,157.53,1981544
2018-12-24,157.31,157.52,152.63,153.58,1968466
2018-12-21,161.54,164.6,157.6206,158,4385686
2018-12-20,162.35,163.97,160.5,161.54,2570407
2018-12-19,162.48,164.69,161.78,162.54,1912317
2018-12-18,161.85,163.46,161.18,162.31,2475346
2018-12-17,166.95,167.16,160.37,160.94,2743371
2018-12-14,166.52,167,165.02,166.6,2193401
2018-12-13,165.14,167.64,164.43,166.8,2153772
2018-12-12,167.49,167.55,164.14,164.65,2675039
2018-12-11,166.73,167.32,165.5,166.64,2032958
2018-12-10,165.96,166.895,162.75,166.19,1908747
2018-12-07,167.37,168.58,165.84,166.43,3357428
2018-12-06,162.81,167.85,161.13,167.63,2809434
2018-12-04,163.27,165.445,163.04,163.48,2468831
2018-12-03,165.02,165.15,161.51,163.08,2651569
2018-11-30,163.22,164.66,161.88,164.49,2741429
2018-11-29,162,163.98,161.12,162.72,2063265
2018-11-28,161.23,162.89,160.99,162,2332247
2018-11-27,161.41,162.16,159.98,162.08,1390163
2018-11-26,160.99,161.77,159.245,161.59,1447159
2018-11-23,159.76,161.18,158.87,160.39,746919
2018-11-21,160.58,161.42,159.03,160.31,2009744
2018-11-20,165.16,167.09,160.55,160.64,3449867
2018-11-19,164.5,166.36,163.88,166.23,2171755
2018-11-16,161.89,164.24,161.63,163.98,1987440
2018-11-15,162.75,162.8492,160.65,162.13,1987847
2018-11-14,161.92,163.58,160.68,163.41,1940910
2018-11-13,161.35,161.765,159.76,161.31,1496761
2018-11-12,160.1,161.96,160.1,161.03,2059624
2018-11-09,159.29,160.3,159.19,160.14,2279769
2018-11-08,156.96,159.4,156.68,159.36,1707916
2018-11-07,157.53,157.78,156.05,156.95,1803384
2018-11-06,155.8,156.5,154.78,156.16,1284956
2018-11-05,152.9,155.85,152.47,155.7,2301360
2018-11-02,152.82,153,149.24,152.06,3978766
2018-11-01,156.54,157.5,152.85,153.02,3963552
2018-10-31,160,160.86,155.25,155.81,3841224
2018-10-30,154,161.71,150.14,160.95,5553576
2018-10-29,150.69,153.67,150.32,152.82,3072680
2018-10-26,152.46,152.77,148.74,149.61,3639017
2018-10-25,151.9,153.94,150.42,153.51,2628144
2018-10-24,150.62,152.87,149.745,151.97,3056302
2018-10-23,149.1,151.28,148.43,150.85,2179067
2018-10-22,150.1,150.68,148.96,149.25,1996789
2018-10-19,147.14,150.9495,146.895,150.15,2450653
2018-10-18,146.49,148.15,145.77,146.79,1515769
2018-10-17,145.23,147.13,144.43,146.68,1736977
2018-10-16,143.15,146.36,142.69,145.69,1303074
2018-10-15,141.78,144.25,141.51,142.73,1289637
2018-10-12,142.09,143.78,140.82,142.05,2219810
2018-10-11,145.85,146.25,140.395,140.68,2484257
2018-10-10,146.58,147.75,145.5,145.5,3517146
2018-10-09,146.04,147.89,145.37,147.65,1782209
2018-10-08,145.05,146.92,145,145.79,1760835
2018-10-05,144.81,146.3,144.325,144.75,1625938
2018-10-04,143.73,144.81,142.3555,144.44,1507945
2018-10-03,144.15,145.75,142.75,143.91,1909981
2018-10-02,144.04,144.6,143.11,144.13,1043427
2018-10-01,146.09,146.09,143.96,144.03,971473
2018-09-28,143.35,145.43,143.35,145.3,1523444
2018-09-27,143.71,144.61,143.3,143.39,1530527
2018-09-26,145.51,145.93,143.69,143.95,1378358
2018-09-25,146.29,146.635,145.48,145.7,1127525
2018-09-24,148,148.08,145.91,146.38,1258039
2018-09-21,148.51,149.6,148.32,148.49,2793344
2018-09-20,147.61,148.86,146.86,148.73,1021373
2018-09-19,147.59,148.25,147.33,147.58,1247501
2018-09-18,147.12,148.49,146.93,147.41,1108310
2018-09-17,147.08,148.4,146.38,147.75,1507818
2018-09-14,148.53,148.64,146.71,147.19,1182748
2018-09-13,148,149.41,147.75,148.72,1676559
2018-09-12,147.27,147.45,146.44,147.31,1359869
2018-09-11,147.19,147.53,146.53,147,1194867
2018-09-10,147.25,148.36,147.0742,147.33,1312268
2018-09-07,147.57,148.2,146.36,146.55,1510900
2018-09-06,147.8,148.41,147.3018,148.09,1304038
2018-09-05,148.03,148.11,146.54,147.6,1667216
2018-09-04,148.73,149.06,147.555,148.15,1171017
2018-08-31,149.13,150.1742,148.74,149.12,965384
2018-08-30,150.63,150.88,148.605,148.94,1034133
2018-08-29,150.29,151.26,150.17,150.45,1308952
2018-08-28,148.05,150.11,147.89,150.1,1192447
2018-08-27,148.56,149.05,147.75,148.37,1072793
2018-08-24,147.38,148.53,147.38,148.06,1339896
2018-08-23,148.43,148.72,147.19,147.38,1206611
2018-08-22,149.27,149.69,147.5,148.11,1134443
2018-08-21,150.61,150.8248,148.94,149.28,1519957
2018-08-20,151.62,151.92,150.52,150.79,1496325
2018-08-17,149.89,151.21,149.71,151.17,1541981
2018-08-16,149.97,150.56,149.52,149.72,1154226
2018-08-15,149.09,149.86,148.41,149.54,1413930
2018-08-14,149.16,149.869,148.58,149.11,1433543
2018-08-13,149,149.83,148.59,149.01,957926
2018-08-10,150.16,151.39,149.08,149.18,1259984
2018-08-09,149.53,150.7,149.12,150.57,1231718
2018-08-08,150.27,150.27,148.68,149.32,1060253
2018-08-07,150.87,150.87,148.69,150.03,1418101
2018-08-06,151.3,151.63,149.73,150.91,1272652
2018-08-03,148.58,151.19,148,150.99,1672983
2018-08-02,149.79,150.36,148.14,148.21,1877079
2018-08-01,147.67,150.49,147.25,150.17,2766309
2018-07-31,146.86,150.82,145.6,148.24,3924394
2018-07-30,144.03,144.55,141.94,142.72,1963190
2018-07-27,145.04,145.14,143.98,144.38,1424788
2018-07-26,143.17,144.84,142.83,144.51,1618997
2018-07-25,141.24,143.35,141.1201,142.94,1572094
2018-07-24,140.44,141.68,138.51,141.57,3230387
2018-07-23,140.78,140.97,139.42,140.84,1457905
2018-07-20,141.32,142.02,140.12,140.38,1787009
2018-07-19,140.98,142.5528,140.76,141.67,1505861
2018-07-18,142.17,142.47,140.65,141.38,2046381
2018-07-17,141.8,142.26,140.91,142.17,2995089
2018-07-16,142.3,142.95,141.21,141.76,1644530
2018-07-13,143.77,144.62,142.93,143.23,953704
2018-07-12,143.57,144.75,143.07,143.76,1504603
2018-07-11,142.98,144.39,142.7,143.41,1250377
2018-07-10,141.5,144.04,139.17,143.54,3775278
2018-07-09,144.83,145.02,141.72,142.18,2334404
2018-07-06,145.54,146.33,144.91,145.81,1376605
2018-07-05,143.77,145.71,143.39,145.67,1512363
2018-07-03,144.69,145.04,142.76,143.03,1669614
2018-07-02,144.33,144.73,142.71,144.67,1559546
2018-06-29,143.43,145,142.65,144.17,1995806
2018-06-28,143.35,144.41,142.58,144.26,2110251
2018-06-27,143.32,144.19,142.92,143.35,2147741
2018-06-26,142.48,143.44,141.96,143.17,3052530
2018-06-25,142.56,143.06,141.33,142.15,2174152
2018-06-22,142.38,143.34,140.89,142.82,2564092
2018-06-21,140.65,141.82,140.34,141.68,1940766
2018-06-20,138.97,141,138.45,140.54,2178386
2018-06-19,137.61,140.3,137.48,139.08,2741721
2018-06-18,137.33,138.34,136.74,138.23,1497821
2018-06-15,138.7,140.2,138.25,138.56,3087797
2018-06-14,136.79,138.93,136.5,138.35,2103459
2018-06-13,140.66,140.6614,136.03,136.46,2270371
2018-06-12,138.58,141.25,138,141.14,2940907
2018-06-11,138.5,140.64,138.08,139.64,1475110
2018-06-08,138.58,139.25,137.82,138.58,3537375
2018-06-07,139.07,139.35,137.59,138.18,1492956
2018-06-06,139.37,139.52,137.58,139.04,1347027
2018-06-05,140.06,140.42,137.75,138.91,2565215
2018-06-04,139.49,140.25,138.79,140.06,1246413
2018-06-01,138.2,138.81,136.85,138.52,1623672
2018-05-31,137.25,138.57,135.98,138.37,4514493
2018-05-30,135.94,138.29,135.62,137.83,1848107
2018-05-29,135.7,136.75,134.87,135.97,2295449
2018-05-25,135.72,137.69,135.64,136.33,1484623
2018-05-24,136.94,137.54,135.06,135.5,1729785
2018-05-23,137.17,137.5327,136.2,136.83,1772453
2018-05-22,137.6,137.6,135.87,137.15,2169121
2018-05-21,137.64,137.723,136.24,137.38,1266887
2018-05-18,136.72,138.66,135.99,137.05,3562524
2018-05-17,137,137.43,136.03,136.85,1820363
2018-05-16,136.85,137.34,135.8855,136.47,1839925
2018-05-15,137.32,137.88,135.27,136.7,2607796
2018-05-14,138.8,139.43,137.48,138.29,1142795
2018-05-11,140,140.43,138.4,138.86,1198129
2018-05-10,138.89,141.01,138.3801,139.89,1801934
2018-05-09,137.16,138.22,136.2,137.95,1661393
2018-05-08,137.77,138.03,135.85,137.01,3069677
2018-05-07,138.75,139.79,137.32,138.14,1532413
2018-05-04,137.19,139.7,137.19,138.85,1729760
2018-05-03,135.78,137.96,135.04,137.58,1859024
2018-05-02,134.39,137.73,134.39,136.47,2362766
2018-05-01,137.07,138.66,133.85,135.1,3250088
2018-04-30,134.95,137.74,134.51,136.36,2548633
2018-04-27,134.75,135.81,133.53,135.24,2311137
2018-04-26,136.32,137.71,135.91,136.84,1794522
2018-04-25,136.15,136.95,135.36,135.73,1511866
2018-04-24,138.72,139.16,136.16,136.96,2430031
2018-04-23,137.3,138.4,136.78,138.2,1911348
2018-04-20,136.97,138.9,136.24,136.62,2659251
2018-04-19,139.17,139.61,136.68,137.42,2553131
2018-04-18,140.81,141.15,139.67,139.81,1773365
2018-04-17,139.27,142.07,138.32,141.02,2734506
2018-04-16,139.79,140.04,137.9484,138.52,2073224
2018-04-13,138.9,140.42,138.115,138.9,1460389
2018-04-12,140.8,140.8,137.601,138.38,2805301
