datetime,open,high,low,close,volume
2019-02-15,1627.86,1628.91,1604.5,1607.95,4343893
2019-02-14,1624.5,1637.9,1606.06,1622.65,4120524
2019-02-13,1647,1656.38,1637.11,1640,3560321
2019-02-12,1604,1639.39,1598.88,1638.01,4858604
2019-02-11,1600.98,1609.29,1586,1591,3317328
2019-02-08,1586,1588.59,1566.76,1588.22,5657457
2019-02-07,1625,1625.54,1592.91,1614.37,4626589
2019-02-06,1670.75,1672.26,1633.34,1640.26,3939883
2019-02-05,1643.34,1665.26,1642.5,1658.81,4453105
2019-02-04,1623,1649.63,1613.5,1633.31,4929187
2019-02-01,1638.88,1673.06,1622.01,1626.23,11506213
2019-01-31,1692.85,1736.41,1679.08,1718.73,10910338
2019-01-30,1623,1676.95,1619.68,1670.43,5783822
2019-01-29,1631.27,1632.38,1590.72,1593.88,4632782
2019-01-28,1643.59,1645,1614.09,1637.89,4837711
2019-01-25,1670.5,1683.48,1661.61,1670.57,4959679
2019-01-24,1641.07,1657.26,1631.78,1654.93,4089943
2019-01-23,1656,1657.43,1612,1640.02,5225212
2019-01-22,1681,1681.87,1610.2,1632.17,6416796
2019-01-18,1712,1716.2,1691.54,1696.2,6020503
2019-01-17,1680,1700.17,1677.5,1693.22,4208875
2019-01-16,1684.22,1705,1675.88,1683.78,6366864
2019-01-15,1632,1675.16,1626.01,1674.56,5998510
2019-01-14,1615,1648.2,1595.15,1617.21,6005888
2019-01-11,1640.55,1660.29,1636.22,1640.56,4686222
2019-01-10,1641.01,1663.25,1621.62,1656.22,6507693
2019-01-09,1652.98,1667.8,1641.4,1659.42,6348801
2019-01-08,1664.69,1676.61,1616.61,1656.58,8881428
2019-01-07,1602.31,1634.56,1589.18,1629.51,7993213
2019-01-04,1530,1594,1518.31,1575.39,9182575
2019-01-03,1520.01,1538,1497.11,1500.28,6975572
2019-01-02,1465.2,1553.36,1460.93,1539.13,7983103
2018-12-31,1510.8,1520.76,1487,1501.97,6954507
2018-12-28,1473.35,1513.47,1449,1478.02,8828950
2018-12-27,1454.2,1469,1390.31,1461.64,9722034
2018-12-26,1368.89,1473.16,1363.01,1470.9,10411801
2018-12-24,1346,1396.03,1307,1343.96,7219996
2018-12-21,1464.99,1480,1363.96,1377.45,13640320
2018-12-20,1484,1509.5,1432.69,1460.83,9991833
2018-12-19,1543.05,1584.53,1483.18,1495.08,8792189
2018-12-18,1540,1567.55,1523.01,1551.48,6522975
2018-12-17,1566,1576.13,1505.01,1520.91,8829762
2018-12-14,1638,1642.57,1585,1591.91,6367163
2018-12-13,1680,1692.12,1641.5,1658.38,5271162
2018-12-12,1669,1704.99,1660.27,1663.54,6597968
2018-12-11,1678,1679.47,1619.6,1643.24,6244695
2018-12-10,1623.84,1657.99,1590.87,1641.03,7494808
2018-12-07,1705.07,1718.93,1625.46,1629.13,7576132
2018-12-06,1614.87,1701.05,1609.85,1699.19,8789394
2018-12-04,1756,1770.34,1665,1668.4,8694455
2018-12-03,1769.46,1778.34,1730,1772.36,6862160
2018-11-30,1679.5,1696,1666.5,1690.17,5761761
2018-11-29,1674.99,1689.99,1652.33,1673.57,6613243
2018-11-28,1613.92,1681.45,1601.21,1677.75,8458738
2018-11-27,1575.99,1597.65,1558.01,1581.42,5783227
2018-11-26,1539,1584.81,1524.22,1581.33,6257716
2018-11-23,1517,1536.2,1501.81,1502.06,2707642
2018-11-21,1542.99,1550,1515,1516.73,5716800
2018-11-20,1437.5,1534.75,1420,1495.46,10878823
2018-11-19,1577.01,1581.19,1503.36,1512.29,7789981
2018-11-16,1587.5,1614.48,1573.12,1593.41,6066080
2018-11-15,1581.01,1624.82,1546.51,1619.44,8427337
2018-11-14,1656.32,1673,1597.07,1599.01,6486891
2018-11-13,1649.29,1677.06,1613.75,1631.17,5933271
2018-11-12,1698.24,1708.55,1630.01,1636.85,6806245
2018-11-09,1732.5,1743.92,1701.87,1712.43,5902186
2018-11-08,1755,1784,1725.11,1754.91,6534866
2018-11-07,1673,1759.23,1664.08,1755.49,8192234
2018-11-06,1618.35,1665,1614.55,1642.81,4257353
2018-11-05,1657.57,1658.09,1596.36,1627.8,5624727
2018-11-02,1678.59,1697.44,1651.83,1665.53,6955548
2018-11-01,1623.53,1670.45,1598.44,1665.53,8135539
2018-10-31,1569.99,1623.91,1565.09,1598.01,9390211
2018-10-30,1486.16,1540.99,1476.36,1530.42,12460086
2018-10-29,1660,1665.74,1495,1538.88,13866077
2018-10-26,1649.59,1698.46,1603,1642.81,14963783
2018-10-25,1703.34,1794.81,1692.01,1782.17,10285742
2018-10-24,1773.7,1777.71,1656.56,1664.2,6928383
2018-10-23,1742.24,1776.34,1714,1768.7,6723913
2018-10-22,1784,1809.5,1756,1789.3,4500015
2018-10-19,1785.16,1809.1,1753,1764.03,5907246
2018-10-18,1821.49,1830.15,1767.87,1770.72,5873995
2018-10-17,1842.79,1845,1807,1831.73,5295177
2018-10-16,1783.5,1823.88,1761.55,1819.96,5859918
2018-10-15,1795,1795.05,1734.23,1760.95,6437162
2018-10-12,1808,1808.95,1742.53,1788.61,9444587
2018-10-11,1724,1755.4,1685.1,1719.36,13935872
2018-10-10,1857.89,1858.56,1754.41,1755.25,10988855
2018-10-09,1859.99,1896.68,1852.32,1870.32,4772866
2018-10-08,1874,1902,1830.66,1864.42,7393199
2018-10-05,1917.99,1929.08,1862.83,1889.65,6822327
2018-10-04,1949,1956,1896.57,1909.42,7256973
2018-10-03,1981.7,1989.7,1949.81,1952.76,5253131
2018-10-02,1999.99,2013.39,1965.77,1971.31,5400749
2018-10-01,2021.99,2033.19,2003.6,2004.36,3468285
2018-09-28,2004.41,2026.52,1996.46,2003,4085135
2018-09-27,1993.24,2016.16,1988.58,2012.98,4329391
2018-09-26,1968.5,1995.25,1961.52,1974.85,4313459
2018-09-25,1942.9,1975.91,1938.85,1974.55,4538407
2018-09-24,1903.79,1936.88,1865,1934.36,4213728
2018-09-21,1954.22,1957.31,1910.5,1915.01,6855898
2018-09-20,1938.58,1955,1932.25,1944.3,3154934
2018-09-19,1940.5,1940.83,1904.9,1926.42,4056822
2018-09-18,1918.65,1958.2,1915.44,1941.05,4268706
2018-09-17,1954.73,1956.82,1887.41,1908.03,7050192
2018-09-14,1992.93,1993.65,1959.22,1970.19,3642030
2018-09-13,2000,2008.76,1982.03,1989.87,3621511
2018-09-12,1994,2000,1962.44,1990,4414012
2018-09-11,1928.27,1988.88,1917,1987.15,5033645
2018-09-10,1971,1973.04,1931.52,1939.01,4544831
2018-09-07,1938.71,1975.2,1937.35,1952.07,4892643
2018-09-06,2006.51,2007.5,1935.21,1958.31,7488680
2018-09-05,2038.11,2040.38,1989.89,1994.82,8220576
2018-09-04,2026.5,2050.5,2013,2039.51,5721093
2018-08-31,2007,2022.38,2004.74,2012.71,4204378
2018-08-30,1997.42,2025.57,1986.9,2002.38,7277257
2018-08-29,1953.45,1998.69,1948.94,1998.1,6531761
2018-08-28,1937.73,1941.78,1928.82,1932.82,3100727
2018-08-27,1915,1927.7,1909.28,1927.68,3569037
2018-08-24,1910.51,1916.01,1902.54,1905.39,2800863
2018-08-23,1907.17,1919.5,1900.76,1902.9,3562997
2018-08-22,1876.64,1905.8,1876.64,1904.9,3080464
2018-08-21,1880,1897.75,1874.4,1883.42,3105626
2018-08-20,1890.57,1891.75,1866.06,1876.71,2862016
2018-08-17,1885.8,1888,1855.55,1882.22,4104300
2018-08-16,1903.94,1905,1883.55,1886.52,3957090
2018-08-15,1909.55,1916.21,1869.79,1882.62,7700682
2018-08-14,1919.39,1921.01,1900,1919.65,3986123
2018-08-13,1898.5,1925,1893.67,1896.2,5531475
2018-08-10,1888.51,1899.5,1878.21,1886.3,3639927
2018-08-09,1882,1914.57,1877.48,1898.52,4860374
2018-08-08,1861,1891.51,1854.5,1886.52,3963017
2018-08-07,1854.53,1869.72,1846.27,1862.48,3377473
2018-08-06,1825.81,1847.77,1818.92,1847.75,3391825
2018-08-03,1837.74,1841,1821.5,1823.29,3460487
