datetime,open,high,low,close,volume
2019-02-15,28.76,29.31,28.67,29.11,65866974
2019-02-14,28.36,28.62,28.11,28.39,47756631
2019-02-13,28.87,28.99,28.66,28.7,48951184
2019-02-12,28.62,28.86,28.58,28.69,49178068
2019-02-11,28.34,28.46,28.21,28.41,47724366
2019-02-08,28.15,28.32,27.86,28.29,50031270
2019-02-07,28.54,28.64,27.9,28.24,62289176
2019-02-06,28.67,28.9,28.54,28.73,35606937
2019-02-05,28.85,28.88,28.57,28.78,46622568
2019-02-04,28.47,28.97,28.415,28.88,55195939
2019-02-01,28.6,28.84,28.31,28.38,64244104
2019-01-31,28.75,28.84,27.98,28.47,100201220
2019-01-30,29.42,29.47,28.95,29.07,66475793
2019-01-29,29.54,29.7,29.34,29.39,51451873
2019-01-28,29.32,29.67,29.29,29.63,59963832
2019-01-25,29.28,29.72,29.135,29.58,72196279
2019-01-24,28.75,29.2,28.74,29.08,59492344
2019-01-23,29.22,29.28,28.62,28.92,79425856
2019-01-22,28.98,29.3,28.89,29.09,84861427
2019-01-18,29.02,29.46,28.71,29.3,97928158
2019-01-17,28.34,29,28.09,28.99,107428808
2019-01-16,28.13,28.715,27.86,28.45,163131700
2019-01-15,26.21,26.81,26.05,26.55,80625492
2019-01-14,25.77,26.48,25.61,26.37,76715378
2019-01-11,25.53,26.04,25.46,26.03,63475964
2019-01-10,25.56,25.78,25.42,25.73,65235785
2019-01-09,25.67,25.845,25.39,25.76,69707185
2019-01-08,25.72,25.79,25.09,25.51,67339430
2019-01-07,25.56,25.78,25.29,25.56,57016335
2019-01-04,25.1,25.65,25.03,25.58,83829144
2019-01-03,24.94,25.04,24.45,24.56,66599627
2019-01-02,24.08,25.14,24.01,24.96,71836306
2018-12-31,24.57,24.97,24.37,24.64,56257342
2018-12-28,24.59,24.75,24.26,24.39,78693797
2018-12-27,23.78,24.37,23.39,24.37,91575402
2018-12-26,22.91,24.175,22.69,24.11,100877810
2018-12-24,22.76,23.21,22.66,22.73,64859064
2018-12-21,23.91,24.51,23.26,23.37,160800438
2018-12-20,23.85,24.425,23.76,24.11,112594029
2018-12-19,24.45,25.24,24.07,24.18,121887605
2018-12-18,24.67,25.09,24.3118,24.47,89046306
2018-12-17,24.26,24.93,24.16,24.47,98602808
2018-12-14,24.18,24.87,24.12,24.48,92762595
2018-12-13,24.66,24.82,24.28,24.4,64860054
2018-12-12,24.87,24.99,24.37,24.52,87191846
2018-12-11,25.21,25.4,24.53,24.58,78545015
2018-12-10,25.18,25.23,24.29,24.76,110166901
2018-12-07,26.15,26.54,25.3,25.43,107477614
2018-12-06,26.23,26.32,25.5321,26.28,133294174
2018-12-04,28.32,28.32,26.73,26.99,103565701
2018-12-03,28.99,29.035,28.355,28.54,59905121
2018-11-30,27.94,28.63,27.87,28.4,64284619
2018-11-29,28.18,28.35,27.97,28.04,46824634
2018-11-28,27.88,28.47,27.56,28.43,61388131
2018-11-27,27.43,27.9,27.39,27.74,43617082
2018-11-26,27.18,27.73,27.1,27.56,53210681
2018-11-23,27.08,27.17,26.88,26.97,22974139
2018-11-21,27.59,27.76,27.25,27.27,40364427
2018-11-20,27.42,27.57,26.97,27.38,92330608
2018-11-19,27.78,28.02,27.54,27.75,45999950
2018-11-16,27.69,27.89,27.42,27.75,52456146
2018-11-15,27.14,27.97,26.88,27.9,66174810
2018-11-14,27.95,28.1,26.78,27.21,69213341
2018-11-13,27.75,28.14,27.69,27.76,57423447
2018-11-12,28.38,28.52,27.64,27.75,50307471
2018-11-09,28.75,28.89,28.384,28.52,43270614
2018-11-08,28.5,29.12,28.43,28.87,49421212
2018-11-07,28.415,28.67,28.14,28.54,56679198
