datetime,open,high,low,close,volume
2019-02-15,52.12,52.99,52.08,52.99,4363519
2019-02-14,52.13,52.13,50.985,51.77,3380340
2019-02-13,52.96,53.11,52.41,52.43,4137156
2019-02-12,52.53,53.0667,52.52,52.84,4413571
2019-02-11,52,52.11,51.71,52.01,3357104
2019-02-08,51.78,52.04,51.19,51.83,3875526
2019-02-07,52.3,52.6,51.66,52.11,3872664
2019-02-06,52.42,52.68,52.1,52.32,3441582
2019-02-05,52.5,52.75,52.22,52.62,3436910
2019-02-04,52.7,52.7,52.25,52.38,4274085
2019-02-01,52.35,52.73,52.23,52.62,4559149
2019-01-31,52.23,52.38,51.75,52.32,4248782
2019-01-30,52.53,53.22,51.96,52.53,4982316
2019-01-29,53.35,53.6984,52.54,52.61,4070492
2019-01-28,53.02,53.47,52.84,53.44,5413368
2019-01-25,53.78,53.89,53.375,53.4,8178596
2019-01-24,52.86,53.76,52.77,53.71,6002518
2019-01-23,53.11,53.18,52.17,53.06,6233170
2019-01-22,52.27,52.9966,52.21,52.59,6585732
2019-01-18,51.8,53.04,51.49,52.66,8977138
2019-01-17,49.94,51.58,49.79,51.53,7595502
2019-01-16,50.09,50.74,48.76,50.43,7647731
2019-01-15,48.24,49.49,48.14,49.41,6215761
2019-01-14,47.64,48.89,47.63,48.42,4715888
2019-01-11,47.11,48.29,46.86,48.08,3728392
2019-01-10,47.5,47.92,47.22,47.47,4435432
2019-01-09,47.7,47.98,47.39,47.76,5270816
2019-01-08,48.08,48.21,47.02,47.62,4594479
2019-01-07,47.65,48.33,47.26,47.8,4223122
2019-01-04,47.38,47.97,46.91,47.91,4881517
2019-01-03,47.34,47.38,46.49,46.56,4415654
2019-01-02,46.55,47.55,46.41,47.5,4229534
2018-12-31,46.89,47.545,46.64,47.07,3900952
2018-12-28,47.1,47.26,46.35,46.65,4688265
2018-12-27,45.405,46.82,45.405,46.82,7873863
2018-12-26,44.65,46.16,43.67,46.16,7466035
2018-12-24,44.26,45.52,44.22,44.49,7228489
2018-12-21,44.58,45.89,44.12,44.64,17265072
2018-12-20,45.12,46.405,44.97,45.01,13057857
2018-12-19,46.64,47.21,45.265,45.5,13329146
2018-12-18,49.2,49.45,46.69,46.73,13306050
2018-12-17,48.39,49.89,48.14,48.98,9805763
2018-12-14,47.59,49,47.58,48.67,9624204
2018-12-13,48.13,48.69,47.72,48.09,7156738
2018-12-12,48.2,48.95,47.63,48.06,7603728
2018-12-11,48.39,49,47.59,47.67,9315071
2018-12-10,47.45,47.695,46.575,47.56,6243967
2018-12-07,47.8,48.58,47.39,47.71,6514532
2018-12-06,47.8,48,46.67,47.84,11591934
2018-12-04,50.53,50.79,48.42,48.7,8856103
2018-12-03,51.8,51.98,50.34,50.64,6330505
2018-11-30,50.6,51.39,50.6,51.31,5407297
2018-11-29,50.94,51.44,50.55,50.68,4997012
2018-11-28,51.54,51.67,50.34,51.61,7006635
2018-11-27,50.66,51.38,50.55,51.37,3642640
2018-11-26,50.44,51.41,50.38,50.93,5730685
2018-11-23,49.6,50.24,49.32,49.86,2122442
2018-11-21,49.62,50.465,49.45,49.96,5181537
2018-11-20,49.78,49.89,48.97,49.38,7325952
2018-11-19,49.34,50.325,49.19,50.12,6314304
2018-11-16,49,49.61,48.9,49.39,4548415
2018-11-15,47.75,49.24,47.455,49.22,7128248
2018-11-14,48.54,49.02,47.605,48.23,6616579
2018-11-13,48.17,48.74,48.05,48.2,4870087
2018-11-12,48.33,48.49,47.88,47.98,4897865
2018-11-09,48.82,48.9,48.21,48.5,4474890
2018-11-08,48.53,49.24,48.44,49.03,5826312
2018-11-07,48.5,48.87,47.75,48.77,4741670
2018-11-06,47.96,48.36,47.68,48.32,3623464
2018-11-05,47.37,48.11,47.37,47.97,4750355
2018-11-02,48,48.29,46.89,47.21,6151242
2018-11-01,47.61,47.82,47.22,47.52,4020205
2018-10-31,47.22,47.88,47.11,47.33,6204780
2018-10-30,46.1,46.975,45.925,46.92,7078810
2018-10-29,45.82,46.36,45.17,45.77,6216439
2018-10-26,45.71,46.03,45.305,45.47,9232202
2018-10-25,45.76,46.68,45.585,46.15,6699846
2018-10-24,46.24,46.38,45.2,45.33,7339885
2018-10-23,45.56,46.5901,45.16,46.28,9870037
2018-10-22,47.44,47.65,46.46,46.47,7268331
2018-10-19,47.09,47.62,46.37,47.4,9462265
2018-10-18,47.56,48.31,47.0534,47.79,8072001
2018-10-17,48.58,49.45,48.12,49.15,7693411
2018-10-16,48.74,49.36,48.33,49.35,4623696
2018-10-15,48.96,49.15,48.45,48.45,6474551
2018-10-12,50.51,50.51,48.25,49.1,6134677
2018-10-11,50.42,50.93,49.13,49.19,8144578
2018-10-10,52.38,52.48,50.7,50.72,6211723
2018-10-09,52.45,52.52,51.965,52.23,3695977
2018-10-08,52.41,52.85,52.3,52.78,3902163
2018-10-05,52.83,53.14,52.42,52.59,4316832
2018-10-04,52.26,52.92,52.09,52.68,4825052
2018-10-03,52.07,52.52,51.895,52.18,3706990
2018-10-02,51.8,52.06,51.235,51.75,3245489
2018-10-01,51.15,51.93,50.93,51.9,4634760
2018-09-28,51.18,51.52,50.9,50.99,5310616
2018-09-27,51.94,52.0699,51.32,51.54,4068197
2018-09-26,52.5,52.64,51.79,51.92,5107701
2018-09-25,52.49,52.65,52.205,52.31,5039048
2018-09-24,53.36,53.36,52.2232,52.37,3501127
2018-09-21,53.38,53.51,53.03,53.39,21768659
2018-09-20,52.76,53.38,52.69,53.33,4553973
2018-09-19,51.53,52.855,51.47,52.43,4972995
2018-09-18,51.4,51.57,51.11,51.45,3477493
2018-09-17,51.68,51.69,50.9748,51.22,4799265
2018-09-14,51.4,51.75,51.37,51.65,3766853
2018-09-13,52.04,52.09,50.98,51.22,6816619
2018-09-12,52.2,52.29,51.9,52.01,3956395
2018-09-11,51.88,52.49,51.69,52.24,3657904
2018-09-10,52.23,52.45,51.94,52.03,3825467
2018-09-07,52.32,52.46,51.86,52.18,3395511
2018-09-06,52.22,52.345,51.84,52.19,3799951
2018-09-05,52.41,52.8785,52.14,52.25,4221230
2018-09-04,52.16,52.69,51.9,52.4,3920219
2018-08-31,52.03,52.18,51.7,52.15,3974293
2018-08-30,52.36,52.52,52.12,52.23,4356326
2018-08-29,52.9,52.91,52.3,52.5,4127557
2018-08-28,53.05,53.13,52.82,52.89,3620370
2018-08-27,52.84,53.44,52.76,52.98,3816612
2018-08-24,52.54,52.72,52.39,52.56,2841099
2018-08-23,52.43,52.46,52.17,52.33,3448745
2018-08-22,52.44,52.74,52.18,52.5,3011165
2018-08-21,51.74,52.81,51.64,52.54,4252329
2018-08-20,51.75,51.98,51.74,51.94,3656809
2018-08-17,51.4,51.7436,51.29,51.69,3977725
2018-08-16,51.12,51.76,51.11,51.52,4840717
2018-08-15,50.58,51.175,50.57,50.96,4795855
2018-08-14,50.31,51.14,50.31,50.97,5081705
