datetime,open,high,low,close,volume
2019-02-15,70.25,71.43,70.08,71.29,2387073
2019-02-14,69.64,70.22,68.73,69.69,2156327
2019-02-13,70,70.68,69.92,70.18,1661358
2019-02-12,68.53,70,68.49,69.72,2903447
2019-02-11,68.18,68.59,67.65,67.88,1813538
2019-02-08,68.35,68.54,67.44,68.01,2204081
2019-02-07,68.87,68.93,68.04,68.92,2760545
2019-02-06,69.17,69.59,68.56,69.02,2372779
2019-02-05,69.18,69.25,68.61,69.18,2331132
2019-02-04,68.6,69.13,68.22,69.12,2136136
2019-02-01,67.59,68.46,67.42,68.4,1957784
2019-01-31,67.19,67.7,66.95,67.49,2680675
2019-01-30,67.63,68,66.54,67.72,2678331
2019-01-29,67.25,67.39,66.57,66.78,2166526
2019-01-28,66.24,67.36,65.81,67.36,2209158
2019-01-25,65.14,67.41,64.86,66.73,6524030
2019-01-24,66.17,67.26,66.01,66.18,4666672
2019-01-23,66.43,66.59,65.05,66.16,2221729
2019-01-22,66.01,66.46,65.55,66.12,3955973
2019-01-18,64.61,66.6,64.21,66.37,2852181
2019-01-17,64,65.18,63.68,64.54,1925790
2019-01-16,63.09,64.65,63.07,64.36,2757056
2019-01-15,62.92,63.08,62.11,62.94,1913081
2019-01-14,62.15,63.28,62.02,63.19,2531165
2019-01-11,62.1,62.75,61.69,62.54,1721172
2019-01-10,61.87,62.71,61.65,62.49,1935700
2019-01-09,61.8,62.44,61.25,62.13,1863417
2019-01-08,62.14,62.67,61.27,61.5,2688928
2019-01-07,61.08,62.11,60.81,61.39,2460924
2019-01-04,59.63,61.48,59.44,61.29,2093033
2019-01-03,59.04,59.41,58.16,58.41,2363391
2019-01-02,57.92,59.89,57.79,59.41,2096660
2018-12-31,58.71,59.165,58.08,58.98,2202050
2018-12-28,59.26,59.72,58.14,58.31,2348791
2018-12-27,57.25,58.87,56.383,58.87,3220174
2018-12-26,55.2,58.15,54.36,58.13,3499048
2018-12-24,55.69,56.45,55.06,55.09,1187744
2018-12-21,58.01,59.18,56.21,56.4,4540240
2018-12-20,57.9,58.88,57.43,57.99,3982918
2018-12-19,59.38,60.81,58.19,58.4,3238166
2018-12-18,60.53,61.415,59.11,59.52,3369833
2018-12-17,61.52,61.63,59.56,59.9,4140938
2018-12-14,62.49,63.71,61.715,61.82,2978367
2018-12-13,64.11,64.54,62.94,63.26,2063575
2018-12-12,64.71,65.35,64.03,64.15,1786787
2018-12-11,65.42,66.01,63.28,63.67,2071405
2018-12-10,64.61,65.1613,63.22,64.74,2506373
2018-12-07,66.33,67.56,64.39,64.84,2926311
2018-12-06,65.27,66.53,64.11,66.49,4251934
2018-12-04,71.44,71.44,66.32,66.38,3513276
2018-12-03,71.98,72.53,70.9,71.69,2210751
2018-11-30,71.13,71.52,70.42,71.3,2086903
2018-11-29,71.5,71.9,70.72,71.22,1282398
2018-11-28,71.02,72.05,70.42,72.05,1959584
2018-11-27,70.41,71.36,70.33,70.89,1650243
2018-11-26,69.5,70.75,69.15,70.65,1943442
2018-11-23,68.54,69.14,68.1596,68.51,582550
2018-11-21,68.32,69.64,68.11,68.81,1289860
2018-11-20,69.04,69.27,67.76,68.24,2712705
2018-11-19,70.77,71.07,69.55,69.98,1737652
2018-11-16,70.38,70.95,69.98,70.72,2370165
2018-11-15,68.69,70.76,68.36,70.72,2631466
2018-11-14,70.61,70.81,68.5,69.19,1762367
2018-11-13,68.95,70.6,68.86,69.94,1408162
2018-11-12,70.47,70.7299,69.2,69.34,1104028
