datetime,open,high,low,close,volume
2019-02-15,124.59,125,124.18,124.8,12190104
2019-02-14,123.84,124.2,123.53,124.06,6276529
2019-02-13,123.84,124.55,123.31,123.37,7640509
2019-02-12,123.96,124.03,123.61,123.86,4271869
2019-02-11,123.19,123.82,123.19,123.6,4821904
2019-02-08,124.05,124.33,123.9799,124.21,4235221
2019-02-07,123.8,123.95,123.4367,123.74,5935456
2019-02-06,124.16,124.1899,123.4,123.44,6595100
2019-02-05,124.29,124.42,124.05,124.28,6291367
2019-02-04,123.99,124.29,123.82,123.96,6879187
2019-02-01,124.89,125.05,124.37,124.5,12485496
2019-01-31,125.18,125.23,124.62,124.75,10209516
2019-01-30,123.91,125.07,123.7,124.69,12103963
2019-01-29,123.71,124,123.46,123.98,11610204
2019-01-28,122.75,123.29,122.7178,123.29,8522178
2019-01-25,122.02,122.91,122.02,122.86,11103309
2019-01-24,121.16,121.36,120.92,121.09,5662490
2019-01-23,120.96,121.54,120.86,121.28,5224918
2019-01-22,121.18,121.5,120.9,121.45,7896668
2019-01-18,121.23,121.515,121.02,121.02,10896307
2019-01-17,122.03,122.26,121.81,122.11,8558523
2019-01-16,122.04,122.44,122.02,122.27,6878137
2019-01-15,122.28,122.38,121.62,121.88,7512779
2019-01-14,122.15,122.24,121.87,122.09,6477072
2019-01-11,121.74,122.05,121.66,121.8,8622666
2019-01-10,121.98,122.179,121.57,121.59,6672058
2019-01-09,121.45,122.335,121.44,122.31,10555933
2019-01-08,121.15,121.71,121.06,121.53,7643363
2019-01-07,122.16,122.22,121.5731,121.86,7473641
2019-01-04,121.32,121.6,120.69,121.44,13334368
2019-01-03,121.78,122.46,121.73,122.43,15440840
2019-01-02,121.35,121.75,120.88,121.33,12776155
2018-12-31,120.98,121.26,120.83,121.25,8449441
2018-12-28,120.8,121.08,120.72,121.06,6864842
2018-12-27,120.57,120.895,120.14,120.57,11874408
2018-12-26,120.62,120.995,119.57,119.66,14293459
2018-12-24,119.57,120.14,119.57,120.02,9736359
2018-12-21,119.19,119.25,118.57,118.72,13629830
2018-12-20,119.11,119.74,118.68,119.24,18615143
2018-12-19,118.24,118.96,117.4,117.43,13827509
2018-12-18,117.85,118.2,117.81,118.15,7542875
2018-12-17,117.37,118.03,117.35,117.87,8455007
2018-12-14,116.63,117.3,116.58,117.06,7501660
2018-12-13,117.54,117.62,117.26,117.53,4131770
2018-12-12,117.7,117.95,117.6117,117.79,4136781
2018-12-11,117.67,117.89,117.35,117.54,6395391
2018-12-10,117.7,117.94,117.42,117.68,8118110
2018-12-07,117.62,118.23,117.54,118.09,10402903
2018-12-06,117.38,117.685,116.92,117.14,9267628
2018-12-04,117.37,117.39,116.931,117.12,7186437
2018-12-03,116.6,116.77,116.295,116.41,8463378
2018-11-30,115.42,115.66,115.04,115.54,8169579
2018-11-29,115.97,116.24,115.56,115.74,6479502
2018-11-28,114.76,116.07,114.59,115.38,13789016
2018-11-27,115.55,115.63,114.6,114.95,9671170
2018-11-26,115.84,115.87,115.53,115.64,4018622
2018-11-23,115.76,115.88,115.585,115.77,3726611
2018-11-21,115.94,116.35,115.86,115.86,8834206
2018-11-20,115.94,115.95,115.37,115.67,9075193
2018-11-19,115.45,115.92,115.37,115.67,8508445
2018-11-16,115.83,115.88,115.37,115.62,8576955
2018-11-15,114.83,114.99,114.56,114.77,8910585
2018-11-14,113.53,115.06,113.46,114.64,13950218
2018-11-13,113.72,113.93,113.42,113.7,9309074
2018-11-12,114.01,114.05,113.58,113.66,7499046
2018-11-09,114.6,114.75,114.14,114.48,14159472
2018-11-08,115.77,116.15,115.5,115.78,7638817
2018-11-07,116.26,116.345,115.9,116.03,8392112
2018-11-06,116.44,116.525,115.74,116.04,7270793
2018-11-05,116.28,116.67,116.23,116.37,6291450
2018-11-02,116.61,116.98,116.39,116.65,8796962
2018-11-01,116.33,117.07,116.18,116.63,13662915
2018-10-31,114.89,115.17,114.66,115.15,11409346
2018-10-30,115.85,116.04,115.635,115.8,7233614
2018-10-29,116.41,116.54,115.84,116.31,8732486
2018-10-26,116.83,117.65,116.46,116.77,15733170
2018-10-25,116.58,116.73,116.19,116.4,8303495
2018-10-24,116.38,116.72,116.1101,116.66,8563293
2018-10-23,117.16,117.25,116.33,116.39,12704177
2018-10-22,115.57,115.7789,115.43,115.71,5200759
2018-10-19,116.23,116.24,115.96,116.01,7453947
2018-10-18,115.83,116.41,115.63,115.92,7964106
2018-10-17,115.89,116.33,115.68,115.79,7078639
2018-10-16,116.49,116.6,115.8,115.8,9531769
2018-10-15,116.12,116.53,115.89,116,11828366
2018-10-12,115.58,115.71,115.08,115.23,12939315
2018-10-11,114.2,116.04,114.09,115.78,26810920
2018-10-10,112.47,112.96,112.25,112.88,10571316
2018-10-09,112.37,112.67,111.97,112.6,8352697
2018-10-08,112.25,112.59,111.9,112.54,12111577
2018-10-05,113.81,114.1,113.57,113.8,7994440
2018-10-04,113.83,114.19,113.255,113.48,6616212
2018-10-03,113.87,114.05,113.26,113.42,6674517
2018-10-02,113.7,114.33,113.61,113.87,10776912
2018-10-01,112.4,112.62,112.15,112.57,3893012
2018-09-28,112.16,113,112.07,112.76,6020579
2018-09-27,112.1,112.4156,111.8499,112.05,7683739
2018-09-26,113.11,113.6,112.66,113.05,8297429
2018-09-25,113.75,113.885,113.57,113.65,3004824
2018-09-24,113.68,113.96,113.43,113.47,4435578
2018-09-21,112.8701,113.68,112.79,113.49,6831550
2018-09-20,114.21,114.37,113.855,114.27,4384523
2018-09-19,113.94,114.15,113.68,113.88,4223199
2018-09-18,113.79,113.91,113.275,113.44,4737849
2018-09-17,113.6,114.03,113.55,113.61,4727254
2018-09-14,113.79,113.9,112.91,113.02,5375645
2018-09-13,114.72,114.78,113.58,113.76,5636023
2018-09-12,113.12,114.39,113.055,114.17,6315934
2018-09-11,112.65,113.37,112.42,113.22,3791338
2018-09-10,113.26,113.43,113,113.15,2316693
2018-09-07,113.26,113.6,112.97,113.23,3714023
2018-09-06,113.89,114.26,113.28,113.54,4784729
2018-09-05,113.36,113.44,113.12,113.32,4459202
2018-09-04,112.75,113.07,112.61,112.93,6617486
2018-08-31,113.72,114.06,113.44,113.51,5048673
2018-08-30,113.92,113.93,113.24,113.64,5431600
