datetime,open,high,low,close,volume
2019-02-15,103.9,105.7,103.66,105.55,14716861
2019-02-14,102.47,103.1,101.35,102.42,11518530
2019-02-13,102.9,103.85,102.9,103.09,10754061
2019-02-12,101.95,102.92,101.89,102.6,12852252
2019-02-11,101.76,102.01,100.771,100.88,10978516
2019-02-08,102.08,102.335,100.06,101.36,12892562
2019-02-07,103.25,103.5,101.44,102.38,13177489
2019-02-06,103.71,104.62,103.465,103.74,8744957
2019-02-05,104.52,104.55,103.29,103.79,12762982
2019-02-04,103.79,104.25,103.01,104.25,9871549
2019-02-01,104,104.8455,103.52,103.88,13000780
2019-01-31,103.41,103.8,102.73,103.5,17520551
2019-01-30,104.14,105.24,103.78,104.41,12526274
2019-01-29,103.88,105.11,103.7301,104.17,9743271
2019-01-28,102.89,104.24,102.59,103.88,12283089
2019-01-25,103.51,104.31,102.74,103.39,14412559
2019-01-24,102.13,103.09,101.94,102.74,11296764
2019-01-23,103.44,103.7,101.965,102.68,12146678
2019-01-22,103.08,103.59,102.13,102.94,17083681
2019-01-18,103.77,104.9,102.83,104.59,16428710
2019-01-17,102.11,103.5,101.9208,102.92,14247564
2019-01-16,102.25,103.45,101.8,102.5,18532952
2019-01-15,98.89,102.47,98.6,101.68,26504852
2019-01-14,98.87,101.36,98.66,100.94,21258458
2019-01-11,99.89,100.17,98.95,99.91,15439850
2019-01-10,100.02,100.73,99.27,100.39,14376430
2019-01-09,100.81,101.49,99.93,100.4,14230331
2019-01-08,101.63,101.82,99.545,100.57,13578777
2019-01-07,100.43,101.47,99.7103,100.76,15430712
2019-01-04,99.11,100.93,98.28,100.69,16935205
2019-01-03,98.64,98.89,96.69,97.11,16286426
2019-01-02,95.95,99.78,95.94,99.31,15670850
2018-12-31,97.59,98.8085,96.77,97.62,13237180
2018-12-28,97.95,98.32,96.44,96.83,17963271
2018-12-27,94.82,97.15,93.55,97.04,20304683
2018-12-26,92.69,95.96,91.11,95.96,22542900
2018-12-24,92.89,94.22,92.14,92.14,17009280
2018-12-21,96.68,98.43,93.685,94.17,41313933
2018-12-20,96.61,98.28,95.69,96.45,31825218
2018-12-19,98.41,100.58,96.6,97.29,28767868
2018-12-18,99.42,100.89,98.12,98.54,20837150
2018-12-17,99.77,100.56,98.435,99.01,25113534
2018-12-14,99.99,101.94,99.86,100.29,19879525
2018-12-13,101.55,101.97,100.67,101.12,17250942
2018-12-12,101.66,102.9,100.0603,101.02,22621487
2018-12-11,103.13,103.66,100.21,100.37,16860677
2018-12-10,102.87,103.49,99.28,101.36,23636429
2018-12-07,105.16,106.9817,102.91,103.29,19248595
2018-12-06,105.01,105.36,102.88,105.19,27213946
2018-12-04,111.6,111.6,106.73,107.23,23555940
2018-12-03,112.38,112.89,111.74,112.24,16033180
2018-11-30,109.85,111.32,109.58,111.19,18652718
2018-11-29,110.27,110.795,109.635,110.06,11144347
2018-11-28,109.8,111.4,108.87,110.94,13977257
2018-11-27,108.76,110.03,108.63,109.72,9238176
2018-11-26,107.72,109.98,107.45,109.26,13948285
2018-11-23,106.74,107.39,106.06,106.65,6488406
2018-11-21,109.03,109.61,107.64,107.64,10619625
2018-11-20,109.78,110.49,107.98,108.45,18936153
2018-11-19,109.96,111.2,109.5282,110.83,13986991
2018-11-16,109.45,110.76,108.55,109.99,13798551
2018-11-15,108.24,110.08,106.81,110.07,19099954
2018-11-14,110.23,110.71,105.9836,107.33,18361433
2018-11-13,109.1,111.12,109.1,109.59,13746059
2018-11-12,111.42,111.94,108.6,108.95,13279671
2018-11-09,112.23,112.36,110.83,111.29,10432161
2018-11-08,111.01,112.925,111,112.38,11662499
2018-11-07,110.37,111.73,109.35,111.48,12679585
2018-11-06,108.67,109.67,107.76,109.6,10824959
2018-11-05,108.61,109.29,108.42,109.09,10276448
2018-11-02,109.9,110.81,107.49,108.38,19009518
2018-11-01,109.62,110.22,108.32,108.98,13065023
2018-10-31,108.08,110.48,107.79,109.02,20859992
2018-10-30,105.71,106.98,104.86,106.7,18019681
2018-10-29,104.46,106.63,103.7,104.85,18445175
2018-10-26,104,104.56,102.73,103.42,19174916
2018-10-25,104.18,105.9,103.72,104.86,17464708
2018-10-24,104.76,105.03,102.9068,103.29,23168916
2018-10-23,104.2,106.16,103.7,105.25,21407548
2018-10-22,108.15,108.34,106.1132,106.36,16199139
2018-10-19,107.65,109.22,107.27,107.91,15234549
2018-10-18,109.02,109.84,107.81,108.09,17582467
2018-10-17,108.38,110.8,108.23,109.83,18794482
2018-10-16,107.16,108.78,106.73,108.62,19302764
2018-10-15,107.2,108.85,106.32,106.34,18903216
2018-10-12,110.37,110.83,105.6,106.95,32075740
2018-10-11,110.97,111.47,107.38,108.13,33705616
2018-10-10,114.7,114.95,111.47,111.47,23086389
2018-10-09,114.67,115.03,113.67,114.52,14069477
2018-10-08,114.25,115.78,113.3534,115.32,14370869
2018-10-05,115.83,116.1,114.015,114.62,13777633
2018-10-04,114.55,116.81,114.21,115.27,16357406
2018-10-03,114.94,115.66,114.48,115.04,17141962
2018-10-02,113.36,114.12,112.8128,113.97,13753074
2018-10-01,113.37,114.61,113.04,113.5,10147110
2018-09-28,113.65,114.24,112.52,112.84,15815120
2018-09-27,115.42,115.76,114.16,114.52,13282987
2018-09-26,116.75,116.8699,114.66,115.02,14023640
2018-09-25,117.04,117.97,116.32,116.39,9308310
2018-09-24,117.76,118.46,116.4315,116.72,12492474
2018-09-21,119.13,119.23,117.74,117.85,24788247
2018-09-20,118.5,119.24,118.08,118.63,15589976
2018-09-19,114.44,118.06,114.44,117.62,16052776
2018-09-18,114.33,114.655,113.56,114.3,7944210
2018-09-17,113.79,114.43,113.3,113.84,9561297
2018-09-14,113.81,114.49,113.23,113.5,10337948
2018-09-13,113.37,114.13,112.67,113.52,12470769
2018-09-12,114.25,114.88,112.85,113.08,10800758
2018-09-11,113.54,114.575,113.18,114.43,9333781
2018-09-10,114.85,114.97,113.66,113.71,8276789
2018-09-07,114.5,114.77,113.63,114.32,10955590
2018-09-06,114.5,114.7,113.5,114.1,9877635
2018-09-05,115,115.7,114.25,114.59,11462446
2018-09-04,114.34,115.24,113.63,115.15,10174177
2018-08-31,114.83,114.84,113.819,114.58,13065719
2018-08-30,115.59,116.04,114.98,115.19,8991802
2018-08-29,116.35,116.37,115.36,115.76,7221744
2018-08-28,117,117.03,115.97,116.14,8302618
2018-08-27,115.22,117.28,115.17,116.71,13768021
2018-08-24,114.98,115.22,114.451,114.68,8845718
2018-08-23,114.96,115.15,114.43,114.73,9265593
2018-08-22,115.31,115.41,114.78,114.97,8314901
2018-08-21,115.37,116.385,114.88,115.32,10976680
2018-08-20,114.59,115.05,114.11,114.62,8618739
2018-08-17,114.64,115.07,114.3,114.77,8505111
2018-08-16,114.35,115.31,114.3,114.77,10118820
2018-08-15,113.82,114.33,112.97,113.7,10152082
2018-08-14,114.27,115.04,113.6499,114.65,10597611
2018-08-13,115.56,115.878,113.815,113.89,10340337
2018-08-10,115.5,115.95,114.6839,115.73,12630949
2018-08-09,117.51,117.72,116.695,116.88,9694541
2018-08-08,117.33,118.2686,117.28,117.79,8997220
2018-08-07,117.74,118.29,117.33,117.55,10562067
2018-08-06,116.79,117.53,116.18,117.12,9857351
2018-08-03,116,117.13,115.94,117.09,11016102
2018-08-02,114.57,116.25,114.33,116.15,11058108
2018-08-01,115.75,116.69,115.28,115.66,13531590
2018-07-31,117.08,117.08,114.82,114.95,15843763
2018-07-30,116.28,117.61,116.06,116.73,13411618
2018-07-27,115.18,116.3,114.81,116.03,12805930
2018-07-26,115.42,115.585,114.581,114.85,11897769
2018-07-25,113.88,115.52,113.38,115.18,13331966
2018-07-24,113.55,114.78,113.42,114.15,14000419
2018-07-23,111.06,114.24,110.93,113.35,18140010
2018-07-20,110,111.74,109.78,111.28,13582631
2018-07-19,111.06,111.09,109.73,109.89,16775305
2018-07-18,110.42,112.12,110.2,111.53,14244944
2018-07-17,110.69,110.93,109.7499,110.5,14821876
2018-07-16,107.05,110.77,106.98,110.58,24662621
2018-07-13,107.3,107.8,105.14,106.36,21303844
2018-07-12,107.42,107.56,105.97,106.85,12456754
2018-07-11,106.31,107.06,106.21,106.39,10186482
2018-07-10,108.02,108.4,106.53,106.62,14575873
2018-07-09,104.71,107.46,104.71,107.28,13900793
2018-07-06,103.12,104.5,102.2,104.06,12173700
2018-07-05,104.13,104.38,103.53,103.72,10723412
2018-07-03,105.41,105.775,103.52,103.61,8311680
2018-07-02,103.72,105.09,103.38,105.08,11130044
2018-06-29,106.68,106.9,104.15,104.2,18972393
2018-06-28,103.68,105.46,103.51,104.93,14491252
2018-06-27,104.68,105.92,103.23,103.24,16270587
2018-06-26,104.71,105.21,103.11,104.86,17086772
2018-06-25,105.66,105.7,103.96,104.79,16907607
2018-06-22,108.16,108.37,105.51,105.75,19938788
2018-06-21,107.1,108.2061,106.53,107.51,11048735
2018-06-20,108.18,108.64,107.44,107.54,8876903
2018-06-19,106.9,107.88,106.6,107.55,12707154
2018-06-18,107.26,108.4,106.69,108.18,9786825
2018-06-15,107.8,108.38,106.27,107.9,26028572
2018-06-14,110.28,110.36,107.78,108.03,20487343
2018-06-13,110.46,111.445,109.58,109.97,14979749
2018-06-12,111.14,111.53,109.52,110.19,15294082
2018-06-11,111.12,111.91,110.77,110.83,12642897
2018-06-08,110.62,111.14,110.06,111.11,10383168
2018-06-07,111.18,111.5,110.025,110.8,13444427
2018-06-06,108.66,110.74,108.48,110.36,15453563
2018-06-05,108.24,108.31,107.07,107.84,10415231
2018-06-04,108.99,109.255,108.27,108.45,9415437
2018-06-01,108.34,108.94,107.8,108.4,13594185
2018-05-31,107.95,108.19,106.42,107.01,19808203
2018-05-30,107.64,108.6,106.65,108.35,17490845
2018-05-29,109.18,109.2,104.955,105.93,30643840
2018-05-25,110.46,111.08,110.195,110.66,8283548
2018-05-24,112.14,112.15,110.115,111.23,14084769
2018-05-23,112.51,112.77,111.12,112.49,11453916
2018-05-22,112.35,114.2852,112.29,113.01,11507550
2018-05-21,112.05,112.54,111.92,112.15,9441931
2018-05-18,112.75,112.8,110.84,111.13,11806349
2018-05-17,113.2,113.41,112.2,112.96,8617204
2018-05-16,112.89,113.69,112.63,113.34,7571089
2018-05-15,113.91,113.91,112.57,113.03,11536212
2018-05-14,114.11,114.7,113.74,113.9,8710654
2018-05-11,114.49,114.73,113.67,113.86,10253045
2018-05-10,113.19,114.44,112.75,114.29,9159709
2018-05-09,111.44,113.64,111.03,113.41,11368094
2018-05-08,109.53,111.34,109.28,110.99,12543228
2018-05-07,108.76,109.68,108.36,109.37,9356721
2018-05-04,106.43,108.74,105.98,108.43,11967906
2018-05-03,107.59,107.77,105.181,107.24,15379091
2018-05-02,108.11,109.49,107.73,107.92,12162086
2018-05-01,108.45,108.97,107.54,108.78,10503353
2018-04-30,109.75,110.3,108.75,108.78,13744860
2018-04-27,109.55,110.1599,109.13,109.4,9383967
2018-04-26,109.97,110.82,109.34,110.1,10299488
2018-04-25,110.27,110.53,108.6,109.99,13546110
2018-04-24,111.75,112.9,109.59,110.41,16453112
2018-04-23,111.57,111.95,110.63,110.93,11285831
2018-04-20,112.3,112.74,110.88,111.47,15584384
2018-04-19,109.53,111.87,109.5,111.72,17910955
2018-04-18,110.53,111.07,108.89,109.32,16081436
2018-04-17,111.37,111.92,109.99,110.21,15501350
2018-04-16,110.94,111.47,109.79,110.21,16580538
2018-04-13,115.02,115.15,109.05,110.3,39152760
2018-04-12,111.56,114.39,111.5,113.37,16435523
2018-04-11,111.66,111.81,110.515,110.62,14503294
2018-04-10,112.13,112.87,111.42,112.51,14003640
2018-04-09,110.01,112.98,109.89,110.4,15974349
2018-04-06,110.55,111.55,107.82,109.09,18906018
2018-04-05,111.63,112.83,111.39,111.88,16627035
2018-04-04,107.1,111.21,107.02,110.99,15302608
2018-04-03,108.36,109.5025,107.26,109.33,14050737
2018-04-02,109.96,110.73,106.08,107.85,18822525
2018-03-29,108.5,110.78,107.78,109.97,13274639
2018-03-28,108.28,109.1699,106.65,108,19189269
2018-03-27,111.07,111.69,107.3,108.17,17889027
2018-03-26,109.19,111.16,108.645,110.31,19970585
2018-03-23,110.27,110.92,106.76,107.01,22802836
2018-03-22,113.2,113.6,109.54,109.95,21841249
2018-03-21,114.81,116.63,114.21,114.74,13357632
2018-03-20,114.87,115.445,114.445,114.64,9795545
2018-03-19,115.1,115.45,113.3,114.53,11616894
2018-03-16,115.34,116.6015,115.34,115.44,19466307
2018-03-15,115.87,116,114.83,115.24,8735890
2018-03-14,116.56,116.59,114.6,114.95,12889657
2018-03-13,118.2,118.47,115.83,116.25,13242100
2018-03-12,118,118.75,117.25,117.66,12031063
2018-03-09,116.55,118.08,115.67,118.04,14348484
2018-03-08,115.11,115.23,113.21,114.74,11006186
2018-03-07,113.75,115.1,113.11,114.73,13006514
2018-03-06,115.64,115.82,114.32,115.16,10674360
2018-03-05,112.05,115.925,111.89,115.06,13933039
2018-03-02,112.39,113.56,111.12,113.32,18353697
2018-03-01,115.48,116.6427,112.65,113.43,18690017
2018-02-28,117.82,118.49,115.34,115.5,17420742
2018-02-27,118.91,119.33,117.35,117.36,17209324
2018-02-26,118.14,118.9,117.32,118.77,16288996
2018-02-23,115.31,117.39,115.31,117.31,11530334
2018-02-22,115.5,116.425,114.76,114.98,16948646
2018-02-21,115,117.45,114.67,115.19,14178550
2018-02-20,114.65,115.39,113.97,114.71,13081905
2018-02-16,114.55,116.07,114.5,114.68,13134927
2018-02-15,115.74,115.985,114.22,115.51,11861147
2018-02-14,112.63,115.27,112.53,115.03,15120013
2018-02-13,111.32,113.05,110.8,112.43,16058124
2018-02-12,111.17,112.725,110.07,111.74,17798897
2018-02-09,109.1,111.05,106.2299,110.04,28113646
2018-02-08,113.11,113.11,107.84,107.88,26991043
2018-02-07,111.55,114.45,111.146,112.87,21667080
2018-02-06,106.85,112.48,106.61,112.11,32475810
2018-02-05,113,114.59,103.98,108.8,28870140
2018-02-02,116.49,116.92,114.09,114.28,16301339
2018-02-01,115.77,116.985,115.48,116.87,13683672
2018-01-31,115.65,116.66,115.16,115.67,13079792
2018-01-30,115.53,116.6,114.98,115.11,13876672
2018-01-29,116.02,117.3529,116.02,116.2,11012943
2018-01-26,115.7,116.32,114.96,116.32,12008030
2018-01-25,116.04,116.17,115.075,115.7,12406626
2018-01-24,114.86,116,114.66,115.67,14736484
2018-01-23,113.67,114.64,113.35,114.21,11848690
2018-01-22,112.66,114.39,112.5,114.33,11904339
2018-01-19,113.94,114.34,112.804,113.01,18696398
2018-01-18,112.76,113.7226,112.27,113.26,14541044
2018-01-17,111.89,113.2958,111.31,112.99,14906568
2018-01-16,111.51,113.43,111.07,112.27,22714181
2018-01-12,111.65,112.85,110.84,112.67,18847148
2018-01-11,110.67,110.929,110.051,110.84,13377611
2018-01-10,109.47,110.7,109.39,110.25,13253418
2018-01-09,108.72,109.63,108.49,109.05,13175074
2018-01-08,108.15,108.68,107.7,108.5,11869809
2018-01-05,109.26,109.55,107.775,108.34,13300254
2018-01-04,108.36,110.03,108.2,109.04,12921332
2018-01-03,107.86,108.49,107.48,108.06,11799489
2018-01-02,107.63,108.02,106.8056,107.95,13560772
