datetime,open,high,low,close,volume
2019-02-15,42.27,42.395,41.42,41.99,28968391
2019-02-14,41.39,43.16,41.31,42.23,41759190
2019-02-13,40.85,42.28,40.8015,41.68,50101676
2019-02-12,39.39,40.77,39.24,40.4,43587923
2019-02-11,38.6,38.87,37.36,38.58,30356472
2019-02-08,37.8,38.78,37.4531,38.58,35573221
2019-02-07,40.8135,41.05,38.91,39.38,40396449
2019-02-06,40.4,41.9588,40.37,41.52,47472616
2019-02-05,39.24,40.33,39.17,39.37,25094026
2019-02-04,39.55,39.61,38.51,39.47,30851483
2019-02-01,38.31,39.86,38.23,39.6,36839947
2019-01-31,37.63,38.82,37.285,38.22,34130464
2019-01-30,38.3,38.76,37.59,38.24,32848056
2019-01-29,38.28,38.98,37.25,37.39,30330993
2019-01-28,36.95,38.96,36.65,38.08,44213030
2019-01-25,38.09,39.305,37.5,38.96,61042704
2019-01-24,35.31,37.44,35.1,36.59,65094840
2019-01-23,34.11,34.685,33.44,34.24,31011607
2019-01-22,35.25,35.25,33.55,33.87,37021938
2019-01-18,34.23,36.19,34.06,35.76,44872405
2019-01-17,33.23,34.2,32.66,33.88,29398501
2019-01-16,34.04,34.33,33.53,33.58,24890929
2019-01-15,35.02,35.23,33.65,33.99,30633574
2019-01-14,34.72,34.92,34.26,34.67,34611955
2019-01-11,35.42,36.73,35.01,36.01,30469843
2019-01-10,35.26,35.95,35.08,35.91,24437350
2019-01-09,34.97,36.2901,34.92,35.44,54147856
2019-01-08,34.55,34.585,32.805,33.74,33434082
2019-01-07,33.7,34.45,33.31,34,44841499
2019-01-04,31.66,33.04,31.55,32.7,28557302
2019-01-03,31.82,32.15,30.86,31,29145099
2019-01-02,31,33.08,30.75,32.75,26004300
2018-12-31,31.99,32.4,31.46,31.73,21392110
2018-12-28,32,32.2785,31.4,31.57,29852928
2018-12-27,30.41,32.01,30.23,31.93,39858341
2018-12-26,29.34,30.91,28.39,30.89,45711046
2018-12-24,29.86,30.35,29,29.02,23771773
2018-12-21,31.68,32.05,30.11,30.32,54630508
2018-12-20,31.6,32.9,30.86,31.28,60427566
2018-12-19,31.66,33.58,31.27,31.41,106669582
2018-12-18,34.39,34.935,33.97,34.11,46135371
2018-12-17,34.16,35.22,33.6,33.88,30890958
2018-12-14,34.44,35.45,34.06,34.2,28922077
2018-12-13,36.29,36.37,34.76,35.02,23825359
2018-12-12,35.94,36.61,35.4,36.03,26642500
2018-12-11,35.59,36.26,35.1,35.21,26238769
2018-12-10,34.83,35.72,34.53,34.8,33979652
2018-12-07,37.62,37.62,35.21,35.31,30619815
2018-12-06,35.66,37.68,35.13,37.67,37494418
2018-12-04,39.56,39.87,36.72,36.88,36616292
2018-12-03,40.2,40.24,39.15,40.03,35829990
2018-11-30,37.75,38.63,36.94,38.56,28176043
