datetime,open,high,low,close,volume
2019-02-15,75,76.55,74.8967,76.52,144084
2019-02-14,74.36,74.81,73.88,74.6,56236
2019-02-13,74.97,75.28,74.5,74.51,87572
2019-02-12,74.65,75.13,74.28,75.1,65716
2019-02-11,75.01,75.1873,74.33,74.58,175508
2019-02-08,75.61,75.8719,75.34,75.8434,32801
2019-02-07,76.32,76.32,75.4,75.65,90495
2019-02-06,77.73,77.73,76.34,76.47,65918
2019-02-05,78,78.13,77.54,77.73,59663
2019-02-04,77.6,77.9026,77.5,77.79,31614
2019-02-01,78.27,78.84,78,78.28,66018
2019-01-31,78,78.18,77.528,77.8,79306
2019-01-30,77.07,77.82,77,77.48,60397
2019-01-29,77.06,77.45,77,77.22,45534
2019-01-28,76.9,77.05,76.72,77,76045
2019-01-25,77.13,77.66,77.06,77.49,397956
2019-01-24,75.68,76.23,75.68,76.02,56317
2019-01-23,75.01,75.42,74.79,75.3,36562
2019-01-22,75.04,75.15,74.64,74.81,101966
2019-01-18,76.26,76.28,75.41,75.64,77661
2019-01-17,76.32,76.94,76.32,76.94,122589
2019-01-16,75.77,76.5427,75.77,76.54,60124
2019-01-15,76.11,76.26,75.45,75.69,75456
2019-01-14,76.28,76.62,75.75,75.99,61793
2019-01-11,77.48,77.52,76.7318,76.86,44930
2019-01-10,77.77,78.27,77.6901,77.74,35803
2019-01-09,77.56,78.19,77.56,78.12,46256
2019-01-08,77.82,78.07,77.2631,77.76,50961
2019-01-07,78.13,78.28,77.6499,77.9356,95955
2019-01-04,75.88,78.0569,75.5,77.8747,139796
2019-01-03,75.39,75.68,74.95,75.67,58629
2019-01-02,74.54,75.92,74.4501,75.32,66616
2018-12-31,74.62,75.35,74.59,75.24,123281
2018-12-28,75.19,75.36,74.7181,74.7239,56944
2018-12-27,75.23,75.4339,74.46,75.42,84704
2018-12-26,75.67,76.0099,75.45,75.45,54313
2018-12-24,74.89,75.1,74.52,74.5333,42992
2018-12-21,75.18,75.45,74.6479,74.6487,35331
2018-12-20,75.25,75.54,74.7,75.18,51161
2018-12-19,75.18,75.6946,74.43,74.5108,43482
2018-12-18,74.55,75.3,74.5107,74.9621,37401
2018-12-17,74.49,75.6042,74.272,75.25,659676
2018-12-14,74.27,74.92,74.0865,74.62,35210
2018-12-13,75.42,75.72,74.96,75.54,37155
2018-12-12,75.23,76.38,75.1618,76.06,104676
2018-12-11,74.59,74.6286,74.12,74.5,27389
2018-12-10,74.61,74.69,73.8409,74.32,63366
2018-12-07,75.1,75.4147,74.6986,75.16,47038
2018-12-06,75.07,75.2,74.4,74.78,90144
2018-12-04,76.16,76.2905,75.66,76.03,62836
2018-12-03,76.37,76.69,76.2,76.32,84837
2018-11-30,76.24,76.3,75.65,75.65,187800
2018-11-29,78.01,78.06,77.4501,77.62,31125
2018-11-28,78.68,78.7,77.26,78.14,77800
2018-11-27,80.23,80.23,78.7,79,29479
2018-11-26,79.76,80.25,79.76,80.05,28203
2018-11-23,79.8,80.1799,79.5,79.5,28996
2018-11-21,80.45,80.55,80.112,80.24,22460
2018-11-20,80.13,80.23,79.5,79.76,33337
2018-11-19,80.17,81.0995,79.95,80.85,43027
2018-11-16,80.11,80.36,79.9255,80.17,42793
2018-11-15,79.06,80.1814,78.83,79.73,45081
2018-11-14,79.37,79.6312,78.38,79.15,47955
2018-11-13,79.97,80.0125,79.24,79.45,47342
2018-11-12,80.92,81.08,79.68,79.68,41315
2018-11-09,81.38,81.47,80.78,81,42767
2018-11-08,82.54,82.812,81.54,81.91,65656
2018-11-07,83,83.11,82.62,82.76,53404
2018-11-06,82.62,83,82.16,82.3631,48249
2018-11-05,82.16,82.6872,81.72,81.79,63185
2018-11-02,81.93,82.89,81.9,82.5,90301
2018-11-01,80.91,81.66,80.9,81.5953,189840
2018-10-31,79.41,79.73,79.245,79.65,127585
2018-10-30,79.37,79.61,79,79.33,31842
2018-10-29,79.67,79.8399,78.89,79.08,58104
2018-10-26,78.47,79.2571,78.47,79.08,64362
2018-10-25,78.65,78.8416,78.1642,78.53,40178
2018-10-24,78.97,79.29,78.58,78.76,55506
2018-10-23,79,79.07,78.55,79.04,65219
2018-10-22,78.19,78.23,77.6641,78.11,184962
2018-10-19,79.24,79.34,78.8051,78.8543,18687
2018-10-18,78.96,78.96,78.3515,78.53,33185
2018-10-17,79.4,79.66,79,79.01,22693
2018-10-16,80.21,80.34,79.83,79.83,32567
2018-10-15,80.18,80.5,79.8424,79.93,52603
2018-10-12,79.82,79.89,79.24,79.48,35062
2018-10-11,77.96,80.1,77.96,79.63,53706
2018-10-10,78.15,78.2819,77.84,78.06,23303
2018-10-09,77.99,78.37,77.52,78.358,16906
2018-10-08,76.9,77.8,76.8925,77.8,42571
2018-10-05,78.21,78.31,77.77,78.13,26195
2018-10-04,78.87,79.15,78,78.26,16545
2018-10-03,78.66,79.3,78.5,78.6,22368
2018-10-02,78.7,79.23,78.7,78.76,33682
2018-10-01,77.36,78.3299,77.36,78.125,15008
2018-09-28,77.21,78.0001,77.14,77.3679,28403
2018-09-27,77.08,77.33,76.71,76.96,49326
2018-09-26,78.1,78.72,77.9,78.1,45973
2018-09-25,78.46,78.61,78.04,78.2,25280
2018-09-24,78.94,79.23,78.5,78.5,32093
2018-09-21,78.2,78.87,78.2,78.61,27480
