datetime,open,high,low,close,volume
2019-02-15,172.51,172.5623,171.1392,171.94,32521685
2019-02-14,170.38,171.83,169.83,171.22,30326830
2019-02-13,171.62,172.16,170.82,171.01,26094136
2019-02-12,169.59,171.14,169.33,170.89,29722073
2019-02-11,169.14,169.58,167.98,168.4,21434088
2019-02-08,166.73,168.59,166.57,168.56,29020747
2019-02-07,169.03,169.4499,166.95,168.23,42036193
2019-02-06,171.06,171.37,169.75,170.52,27970006
2019-02-05,169.75,171.23,169.69,171.03,28156368
2019-02-04,167.51,169.53,167.33,169.53,26718781
2019-02-01,167.37,168.6,166.99,167.45,32143672
2019-01-31,166.65,168.99,166.4701,168.16,37258361
2019-01-30,163.39,166.28,162.89,165.68,41346533
2019-01-29,163.2,163.24,160.99,161.57,30784175
2019-01-28,163.03,163.12,161.75,163.11,33491216
2019-01-25,164.48,165.65,163.95,165.15,36466069
2019-01-24,162.66,163.44,162.0626,163.2,32413351
2019-01-23,162.77,163.51,160.32,162.15,38106062
2019-01-22,164.05,164.14,160.76,161.94,56711694
2019-01-18,164.84,166.02,163.82,165.25,57183243
2019-01-17,161.84,164.36,161.57,163.63,39328959
2019-01-16,162.63,163.78,162.29,162.35,33812190
2019-01-15,159.97,162.6,159.9096,162.38,40874224
2019-01-14,159.32,159.96,158.59,159.27,30710234
2019-01-11,160.32,160.86,159.79,160.69,30176643
2019-01-10,159.59,161.37,158.7,161.28,38943414
2019-01-09,160.15,161.5229,159.47,160.82,46491747
2019-01-08,159.56,160.11,157.2,159.52,49388694
2019-01-07,156.54,158.86,156.11,158.09,52059331
2019-01-04,152.18,157,151.74,156.23,74709320
2019-01-03,152.6,153.26,149.49,149.82,74820225
2019-01-02,150.99,155.75,150.88,154.88,58576672
2018-12-31,154.47,154.98,152.71,154.26,53015313
2018-12-28,154.01,155.59,151.72,152.97,77856625
2018-12-27,150.57,153.18,147.08,153.05,85824343
2018-12-26,145.12,152.54,144.09,152.46,98982064
2018-12-24,146.14,147.98,143.46,143.5,56163290
2018-12-21,153.06,154.09,146.72,147.57,141129408
2018-12-20,154.16,155.87,150.39,152.29,99002139
2018-12-19,158.24,160.72,153.34,154.53,81856456
2018-12-18,158.67,159.95,157.04,158.42,63642120
2018-12-17,160.41,161.67,156.17,157.43,74834076
2018-12-14,163.19,163.81,160.7,161.08,56547419
2018-12-13,166.06,166.82,164.03,165.1,46377864
2018-12-12,166.06,167.6,164.96,165.05,53779992
2018-12-11,165.66,165.77,162.23,163.61,59058296
2018-12-10,161.11,163.78,159.41,163.07,73960758
2018-12-07,166.13,167.12,160.86,161.38,80432176
2018-12-06,162.46,166.91,161.77,166.89,71715526
2018-12-04,171.38,171.91,165.52,165.72,70594743
2018-12-03,173.1,173.31,169.5101,172.33,50771695
2018-11-30,168.38,169.47,167.54,169.37,36722760
2018-11-29,168,169.26,166.82,168.15,44885711
2018-11-28,164.62,168.7,163.4719,168.7,70140986
2018-11-27,162,163.85,161.18,163.44,36608063
2018-11-26,161.44,162.97,160.76,162.89,42012633
2018-11-23,159.09,160.84,159.09,159.21,23503729
2018-11-21,161.29,161.97,159.2323,160.37,42965839
2018-11-20,158.37,161.38,157.13,159.16,102652794
2018-11-19,166.74,166.9,161.54,162.06,67280478
2018-11-16,166.49,168.31,165.78,167.5,65390675
2018-11-15,164.84,168.54,163.46,168.09,73254349
2018-11-14,168.09,168.7,164.25,165.2,75270714
2018-11-13,167.15,169.48,166,166.47,64128079
2018-11-12,170.33,170.64,166.18,166.33,62578371
2018-11-09,172.83,173.25,170.16,171.52,50602710
2018-11-08,174.76,175.302,173.63,174.46,40296538
2018-11-07,172.25,175.58,171.87,175.58,51169614
2018-11-06,168.93,171.19,168.72,170.24,34410390
2018-11-05,169.61,169.66,167.08,168.96,39573533
2018-11-02,171.53,172.55,168.22,169.38,75966781
2018-11-01,170.08,172.24,168.78,172.06,52706823
2018-10-31,168.55,171.25,168.54,169.82,73828635
2018-10-30,162.8,166.035,162.015,165.92,92583965
2018-10-29,169.16,169.86,160.09,163.23,111871933
2018-10-26,165.24,169.96,164.23,166.66,130970908
2018-10-25,167.99,172.08,167.16,171.06,83481070
2018-10-24,173.12,173.36,165.04,165.34,102997449
2018-10-23,170.79,174.13,168.82,173.27,77566972
2018-10-22,174.06,175.2485,172.59,173.91,52909281
2018-10-19,174.39,176.07,172.39,173.02,82923733
2018-10-18,176.6,176.68,172.44,173.18,82486208
2018-10-17,178.14,178.2585,175.47,177.29,66987639
2018-10-16,174.02,177.65,173.7,177.22,71979688
2018-10-15,173.69,174.04,171.56,172.21,64885255
2018-10-12,173.99,174.86,170.9328,174.32,102078388
