datetime,open,high,low,close,volume
2019-02-15 16:00:00,70.57,70.74,70.57,70.72,390134
2019-02-15 15:59:00,70.52,70.6,70.52,70.58,113855
2019-02-15 15:58:00,70.5575,70.5575,70.51,70.52,134116
2019-02-15 15:57:00,70.52,70.56,70.51,70.555,150847
2019-02-15 15:56:00,70.49,70.71,70.47,70.51,395192
2019-02-15 15:55:00,70.47,70.5,70.46,70.49,41935
2019-02-15 15:54:00,70.445,70.489,70.42,70.48,66991
2019-02-15 15:53:00,70.46,70.47,70.44,70.445,34919
2019-02-15 15:52:00,70.49,70.53,70.46,70.47,58231
2019-02-15 15:51:00,70.57,70.57,70.485,70.5,57806
2019-02-15 15:50:00,70.595,70.6,70.56,70.57,34938
2019-02-15 15:49:00,70.63,70.64,70.59,70.6,63108
2019-02-15 15:48:00,70.645,70.65,70.61,70.62,78661
2019-02-15 15:47:00,70.615,70.65,70.61,70.65,54482
2019-02-15 15:46:00,70.59,70.64,70.59,70.62,97259
2019-02-15 15:45:00,70.62,70.63,70.59,70.59,45870
2019-02-15 15:44:00,70.61,70.63,70.61,70.62,18531
2019-02-15 15:43:00,70.56,70.63,70.54,70.62,124188
2019-02-15 15:42:00,70.68,70.68,70.56,70.56,75065
2019-02-15 15:41:00,70.68,70.705,70.66,70.675,50364
2019-02-15 15:40:00,70.69,70.69,70.66,70.67,24574
2019-02-15 15:39:00,70.65,70.7,70.65,70.69,29301
2019-02-15 15:38:00,70.58,70.64,70.58,70.64,16955
2019-02-15 15:37:00,70.58,70.59,70.58,70.585,12961
2019-02-15 15:36:00,70.58,70.63,70.575,70.58,47207
2019-02-15 15:35:00,70.575,70.58,70.57,70.58,16117
2019-02-15 15:34:00,70.52,70.58,70.52,70.58,26736
2019-02-15 15:33:00,70.53,70.555,70.49,70.5,130668
2019-02-15 15:32:00,70.52,70.53,70.52,70.53,47666
2019-02-15 15:31:00,70.52,70.52,70.515,70.515,32979
2019-02-15 15:30:00,70.51,70.53,70.5,70.52,61476
2019-02-15 15:29:00,70.53,70.54,70.515,70.515,42055
2019-02-15 15:28:00,70.515,70.53,70.515,70.53,24654
2019-02-15 15:27:00,70.52,70.53,70.515,70.515,20188
2019-02-15 15:26:00,70.52,70.53,70.505,70.52,33113
2019-02-15 15:25:00,70.5175,70.525,70.51,70.52,19350
2019-02-15 15:24:00,70.54,70.54,70.52,70.52,16637
2019-02-15 15:23:00,70.53,70.54,70.51,70.54,25277
2019-02-15 15:22:00,70.55,70.585,70.54,70.54,20025
2019-02-15 15:21:00,70.57,70.57,70.54,70.55,19212
2019-02-15 15:20:00,70.55,70.57,70.55,70.57,14327
2019-02-15 15:19:00,70.5,70.54,70.5,70.54,11523
2019-02-15 15:18:00,70.51,70.52,70.505,70.505,11000
2019-02-15 15:17:00,70.47,70.51,70.47,70.51,14490
2019-02-15 15:16:00,70.49,70.49,70.46,70.48,14610
