datetime,open,high,low,close,volume
2019-02-15,14.7,14.83,14.63,14.82,6509739
2019-02-14,14.57,14.67,14.55,14.65,6544002
2019-02-13,14.74,14.8384,14.58,14.59,7914490
2019-02-12,14.75,14.76,14.7,14.73,4313993
2019-02-11,14.72,14.8,14.71,14.72,3485841
2019-02-08,14.79,14.87,14.76,14.83,5287515
2019-02-07,14.7,14.78,14.69,14.77,7336548
2019-02-06,14.85,14.8563,14.67,14.68,7820552
2019-02-05,14.91,14.93,14.835,14.87,5944372
2019-02-04,14.83,14.93,14.82,14.88,5917718
2019-02-01,15.05,15.08,14.91,14.92,6654222
2019-01-31,15.17,15.19,15.03,15.05,8510816
2019-01-30,14.92,15.115,14.88,15.05,12468883
2019-01-29,14.88,14.91,14.835,14.88,6481678
2019-01-28,14.66,14.8,14.645,14.79,7751400
2019-01-25,14.58,14.76,14.58,14.74,10686838
2019-01-24,14.4,14.42,14.33,14.36,3809090
2019-01-23,14.35,14.43,14.32,14.42,5687319
2019-01-22,14.33,14.405,14.3,14.39,8544393
2019-01-18,14.45,14.5,14.37,14.37,9390948
2019-01-17,14.55,14.6,14.51,14.57,7610069
2019-01-16,14.65,14.69,14.61,14.63,6583493
2019-01-15,14.71,14.735,14.59,14.6,15520775
2019-01-14,14.67,14.7,14.62,14.66,4370064
2019-01-11,14.62,14.7,14.595,14.64,4942187
2019-01-10,14.68,14.72,14.59,14.6,8700323
2019-01-09,14.68,14.81,14.66,14.78,11011348
2019-01-08,14.65,14.725,14.64,14.69,6776388
2019-01-07,14.76,14.78,14.66,14.67,7432298
2019-01-04,14.73,14.79,14.63,14.73,17854270
2019-01-03,14.69,14.79,14.63,14.75,12933200
2019-01-02,14.46,14.66,14.45,14.56,12310371
2018-12-31,14.42,14.56,14.41,14.52,10897178
2018-12-28,14.4,14.445,14.325,14.42,11445298
2018-12-27,14.25,14.335,14.2134,14.3,13958636
2018-12-26,14.1,14.24,14.05,14.11,15133002
2018-12-24,13.79,13.91,13.79,13.87,6303906
2018-12-21,13.82,13.84,13.71,13.74,7224373
2018-12-20,13.88,13.94,13.8,13.85,13577582
2018-12-19,13.81,13.93,13.65,13.69,16736200
2018-12-18,13.75,13.82,13.72,13.75,6808492
