datetime,open,high,low,close,volume
2019-02-15,276.36,277.41,276.13,277.37,97088659
2019-02-14,273.78,275.64,272.87,274.38,83234396
2019-02-13,275.03,275.93,274.56,274.99,65277204
2019-02-12,272.42,274.52,272.34,274.1,72270221
2019-02-11,271.2,271.49,270.03,270.62,68021423
2019-02-08,268.75,270.58,267.83,270.47,75788861
2019-02-07,270.94,271.55,268.29,270.14,95481961
2019-02-06,272.79,273.34,271.92,272.74,58347791
2019-02-05,272.44,273.44,271.88,273.1,79552774
2019-02-04,270.11,272.03,269.36,271.96,60744844
2019-02-01,270.15,271.2,269.18,270.06,85782524
2019-01-31,267.51,270.47,267.27,269.93,104012073
2019-01-30,265.1,268.52,264.25,267.58,92473671
2019-01-29,263.92,264.55,262.48,263.41,66136334
2019-01-28,263.39,263.83,261.79,263.76,85613655
2019-01-25,265.61,266.7,263.6595,265.78,96883358
2019-01-24,263.21,264.2,262.08,263.55,59204139
2019-01-23,264.01,264.79,260.66,263.41,86030287
2019-01-22,264.82,265.06,261.06,262.86,115531183
2019-01-18,264.98,266.98,262.998,266.46,127900303
2019-01-17,260.01,263.92,259.96,262.96,96118435
2019-01-16,260.83,261.9666,260.6,260.98,77636710
2019-01-15,257.82,260.7,257.81,260.35,85208271
2019-01-14,256.86,258.3,256.41,257.4,70908227
2019-01-11,257.68,259.0098,257.03,258.98,73858110
2019-01-10,256.26,259.16,255.5,258.88,96823923
2019-01-09,257.56,258.91,256.19,257.97,95006554
2019-01-08,256.82,257.31,254,256.77,102512587
2019-01-07,252.69,255.95,251.69,254.38,103139100
2019-01-04,247.59,253.11,247.17,252.39,142628834
2019-01-03,248.23,248.57,243.67,244.21,144140692
2019-01-02,245.98,251.21,245.95,250.18,126925199
2018-12-31,249.56,250.19,247.47,249.92,144299370
2018-12-28,249.58,251.4,246.45,247.75,153100189
2018-12-27,242.57,248.29,238.96,248.07,186267342
2018-12-26,235.97,246.18,233.76,246.18,218485360
2018-12-24,239.04,240.8355,234.27,234.34,147311588
2018-12-21,246.74,249.71,239.98,240.7,255345633
2018-12-20,249.86,251.62,244.65,247.17,252053377
2018-12-19,255.17,259.4,249.35,251.26,214992763
2018-12-18,257.2,257.95,253.28,255.08,134515094
2018-12-17,259.4,260.65,253.525,255.36,165492257
2018-12-14,262.96,264.03,259.85,260.47,116961071
2018-12-13,266.52,267.49,264.12,265.37,96662717
2018-12-12,267.47,269,265.37,265.46,97976706
2018-12-11,267.66,267.87,262.48,264.13,121504431
2018-12-10,263.37,265.1613,258.62,264.07,151445885
2018-12-07,269.46,271.22,262.63,263.57,161018923
2018-12-06,265.92,269.97,262.44,269.84,204185411
2018-12-04,278.37,278.85,269.9,270.25,177986013
2018-12-03,280.28,280.4,277.505,279.3,103017719
2018-11-30,273.81,276.28,273.45,275.65,98204190
2018-11-29,273.71,275.55,272.43,273.98,82346420
2018-11-28,269.6,274.58,268.3272,274.58,127629633
2018-11-27,266.34,268.4,265.66,268.4,75502441
2018-11-26,265.78,267.75,265.34,267.5,79981362
2018-11-23,263.18,264.8234,263.07,263.25,42807878
2018-11-21,265.86,267.15,265.01,265.02,75563743
2018-11-20,265.36,267,263.15,264.12,136021311
2018-11-19,273.05,273.38,268.07,269.1,103061706
2018-11-16,271.79,274.75,271.21,273.73,126668040
2018-11-15,268.78,273.54,267.0102,273.02,135101437
2018-11-14,274.16,274.61,268.45,270.2,125335931
2018-11-13,273.09,275.325,271.25,272.06,98176610
2018-11-12,277.19,277.46,271.99,272.57,99673574
2018-11-09,279.03,279.24,276.18,277.76,98812561
2018-11-08,280.11,281.22,279.22,280.5,65584886
2018-11-07,277.56,281.1,277.08,281.01,102752099
2018-11-06,273.32,275.3,273.25,275.12,60085894
2018-11-05,272.44,274.01,271.35,273.39,65622482
2018-11-02,274.75,275.23,269.59,271.89,122634107
2018-11-01,271.6,273.73,270.38,273.51,99495037
2018-10-31,270.65,273.23,270.12,270.63,128296325
2018-10-30,263.67,268.12,263.12,267.77,157115995
2018-10-29,268.8,270.25,259.85,263.86,160749101
2018-10-26,265.92,271,262.29,265.33,201574596
2018-10-25,267.38,271.81,266.23,270.08,138061545
2018-10-24,273.33,273.76,264.7,265.32,177806697
2018-10-23,270.95,274.87,268.61,273.61,146352719
2018-10-22,277,277.36,274.41,275.01,82415812
2018-10-19,277.13,279.3,275.47,276.25,139901634
2018-10-18,279.4,280.07,274.97,276.4,134557525
2018-10-17,280.44,281.15,277.56,280.45,110625987
2018-10-16,276.6,280.82,276.07,280.4,118255834
2018-10-15,275.55,277.04,274.3,274.4,102263717
2018-10-12,276.77,277.09,272.37,275.95,183186492
2018-10-11,277.08,278.9,270.36,272.17,274840491
2018-10-10,286.83,286.91,277.88,278.3,214731000
2018-10-09,287.39,288.86,286.77,287.4,74338982
2018-10-08,287.05,288.22,285.5,287.82,87742172
2018-10-05,289.69,290.27,286.22,287.82,105951698
2018-10-04,291.18,291.24,287.66,289.44,111545910
2018-10-03,292.74,293.21,291.32,291.72,64694594
2018-10-02,291.56,292.355,291.14,291.56,47258227
2018-10-01,292.11,292.93,290.98,291.73,62078937
2018-09-28,289.99,291.28,289.95,290.72,70091385
