datetime,open,high,low,close,volume
2019-02-15 16:00:00,128.63,128.8,128.63,128.75,171416
2019-02-15 15:45:00,128.49,128.67,128.43,128.64,60383
2019-02-15 15:30:00,128.62,128.62,128.43,128.52,35139
2019-02-15 15:15:00,128.67,128.67,128.54,128.62,28722
2019-02-15 15:00:00,128.53,128.71,128.52,128.7,25348
2019-02-15 14:45:00,128.47,128.57,128.45,128.54,29079
2019-02-15 14:30:00,128.46,128.55,128.44,128.46,34778
2019-02-15 14:15:00,128.49,128.53,128.4454,128.4454,30187
2019-02-15 14:00:00,128.4,128.54,128.37,128.45,24548
2019-02-15 13:45:00,128.29,128.42,128.29,128.41,20667
2019-02-15 13:30:00,128.39,128.46,128.26,128.26,20368
2019-02-15 13:15:00,128.61,128.6203,128.36,128.36,21885
2019-02-15 13:00:00,128.77,128.77,128.542,128.5732,14123
2019-02-15 12:45:00,128.69,128.72,128.58,128.72,22159
2019-02-15 12:30:00,128.79,128.81,128.66,128.75,17115
2019-02-15 12:15:00,128.8,128.84,128.63,128.76,19340
2019-02-15 12:00:00,128.63,128.81,128.6074,128.79,17760
2019-02-15 11:45:00,128.61,128.69,128.48,128.57,52500
2019-02-15 11:30:00,128.47,128.61,128.45,128.6,23991
2019-02-15 11:15:00,128.41,128.55,128.41,128.42,33035
2019-02-15 11:00:00,128.35,128.5,128.265,128.49,43482
2019-02-15 10:45:00,128.42,128.42,128.255,128.28,26941
2019-02-15 10:30:00,128.36,128.59,128.28,128.435,22465
2019-02-15 10:15:00,128.38,128.44,128.18,128.3,35240
2019-02-15 10:00:00,128.42,128.61,128.16,128.43,31301
2019-02-15 09:45:00,128.01,128.56,128.01,128.46,125564
2019-02-14 16:00:00,127.46,127.46,126.94,126.94,181488
2019-02-14 15:45:00,127.49,127.675,127.46,127.46,64881
2019-02-14 15:30:00,127.6331,127.6331,127.46,127.48,38688
2019-02-14 15:15:00,127.5408,127.93,127.51,127.56,40372
2019-02-14 15:00:00,127.73,127.7619,127.46,127.54,29534
2019-02-14 14:45:00,127.76,127.82,127.61,127.71,31085
2019-02-14 14:30:00,127.69,127.79,127.62,127.76,21570
2019-02-14 14:15:00,127.66,127.68,127.53,127.66,26443
2019-02-14 14:00:00,127.62,127.655,127.56,127.63,20421
2019-02-14 13:45:00,127.65,127.74,127.63,127.64,18397
2019-02-14 13:30:00,127.51,127.62,127.44,127.62,22725
2019-02-14 13:15:00,127.53,127.59,127.424,127.46,18698
2019-02-14 13:00:00,127.65,127.72,127.45,127.47,24188
2019-02-14 12:45:00,127.55,127.61,127.53,127.61,18167
2019-02-14 12:30:00,127.3,127.67,127.15,127.53,30297
2019-02-14 12:15:00,127.14,127.275,127.07,127.26,18730
2019-02-14 12:00:00,126.955,127.17,126.955,127.1,20047
2019-02-14 11:45:00,126.77,126.89,126.58,126.8744,37531
2019-02-14 11:30:00,126.605,126.8,126.53,126.76,32037
2019-02-14 11:15:00,126.69,126.72,126.48,126.6,49630
2019-02-14 11:00:00,126.65,126.78,126.48,126.72,43127
2019-02-14 10:45:00,126.74,126.91,126.49,126.74,42713
2019-02-14 10:30:00,126.45,126.77,126.36,126.76,36831
2019-02-14 10:15:00,126.46,126.59,126.32,126.5,57454
2019-02-14 10:00:00,126.41,126.47,126.29,126.45,21376
2019-02-14 09:45:00,127.35,127.35,126.5,126.5,45891
2019-02-13 16:00:00,128.28,128.28,128.02,128.02,191797
2019-02-13 15:45:00,128.36,128.42,128.295,128.3,54679
2019-02-13 15:30:00,128.21,128.34,128.21,128.33,43572
2019-02-13 15:15:00,128.15,128.25,128.15,128.21,41234
2019-02-13 15:00:00,128.13,128.24,128.09,128.15,27395
2019-02-13 14:45:00,128.09,128.14,128.03,128.14,28811
2019-02-13 14:30:00,127.83,128.07,127.81,128.07,31791
2019-02-13 14:15:00,127.97,128.08,127.81,127.81,27290
2019-02-13 14:00:00,127.955,128.04,127.94,127.96,27674
2019-02-13 13:45:00,128.2,128.2,127.93,127.93,27424
2019-02-13 13:30:00,128.19,128.22,128.17,128.19,25228
2019-02-13 13:15:00,128.075,128.23,128,128.21,34014
2019-02-13 13:00:00,128,128.25,128,128.09,24415
2019-02-13 12:45:00,128.02,128.1,127.95,128.08,26288
2019-02-13 12:30:00,128.25,128.33,128,128.035,29476
2019-02-13 12:15:00,128.39,128.39,128.16,128.24,23286
2019-02-13 12:00:00,128.22,128.47,128.22,128.36,24052
2019-02-13 11:45:00,128.13,128.24,128.025,128.19,35335
2019-02-13 11:30:00,128.475,128.56,128.18,128.18,43164
2019-02-13 11:15:00,128.7,128.74,128.54,128.54,34039
2019-02-13 11:00:00,128.74,128.8,128.53,128.59,35085
2019-02-13 10:45:00,128.73,128.83,128.685,128.72,31976
2019-02-13 10:30:00,128.76,128.8,128.61,128.73,49455
2019-02-13 10:15:00,128.71,128.78,128.58,128.76,57801
2019-02-13 10:00:00,129.07,129.09,128.79,128.85,35564
2019-02-13 09:45:00,127.85,129.06,127.85,129.06,72155
2019-02-12 16:00:00,126.95,127.32,126.93,127.31,199668
2019-02-12 15:45:00,127.15,127.2,126.93,126.93,87282
2019-02-12 15:30:00,126.995,127.215,126.995,127.145,56163
2019-02-12 15:15:00,127.07,127.09,126.945,126.995,236896
2019-02-12 15:00:00,127.05,127.085,127.01,127.05,33427
2019-02-12 14:45:00,127.05,127.08,126.985,127.04,55219
2019-02-12 14:30:00,127.135,127.15,127.07,127.07,32890
2019-02-12 14:15:00,127.23,127.23,127.08,127.18,27238
2019-02-12 14:00:00,127.32,127.34,127.21,127.21,59835
2019-02-12 13:45:00,127.29,127.365,127.22,127.365,67934
2019-02-12 13:30:00,127.12,127.28,127.12,127.27,23073
2019-02-12 13:15:00,126.96,127.1,126.96,127.08,22309
2019-02-12 13:00:00,126.94,126.965,126.88,126.95,21119
2019-02-12 12:45:00,126.89,127,126.85,126.94,37773
2019-02-12 12:30:00,127,127.03,126.84,126.88,32730
2019-02-12 12:15:00,127.12,127.13,126.9,126.99,32239
2019-02-12 12:00:00,126.9524,127.11,126.88,127.06,30997
2019-02-12 11:45:00,126.86,127,126.817,126.97,38578
2019-02-12 11:30:00,126.86,126.92,126.82,126.86,28334
2019-02-12 11:15:00,126.59,126.83,126.59,126.83,37221
2019-02-12 11:00:00,126.52,126.59,126.36,126.59,40224
2019-02-12 10:45:00,126.77,126.8367,126.555,126.555,36874
2019-02-12 10:30:00,127.0408,127.0408,126.74,126.78,36648
2019-02-12 10:15:00,126.69,127.11,126.69,127.05,101173
2019-02-12 10:00:00,126.6,126.71,126.56,126.63,38788
2019-02-12 09:45:00,126.2,126.66,126.2,126.605,76027
2019-02-11 16:00:00,125.22,125.56,125.22,125.46,186612
2019-02-11 15:45:00,125.173,125.295,125.09,125.26,96915
2019-02-11 15:30:00,125.24,125.25,125.11,125.18,65582
2019-02-11 15:15:00,125.17,125.39,125.12,125.23,39425
2019-02-11 15:00:00,125.03,125.11,124.97,125.11,36814
2019-02-11 14:45:00,124.81,125.1,124.8,125.05,164172
2019-02-11 14:30:00,124.825,124.84,124.78,124.81,90659
2019-02-11 14:15:00,124.81,124.81,124.75,124.78,28153
2019-02-11 14:00:00,124.71,124.8652,124.7,124.82,29816
2019-02-11 13:45:00,124.83,124.855,124.66,124.7,28369
2019-02-11 13:30:00,124.79,124.88,124.73,124.76,22925
2019-02-11 13:15:00,124.95,124.95,124.78,124.78,24512
2019-02-11 13:00:00,124.89,124.98,124.88,124.93,16778
2019-02-11 12:45:00,124.84,124.93,124.79,124.93,17948
2019-02-11 12:30:00,124.61,124.84,124.6,124.84,25126
2019-02-11 12:15:00,124.71,124.74,124.62,124.63,25973
2019-02-11 12:00:00,124.745,124.76,124.57,124.67,25824
