datetime,open,high,low,close,volume
2019-02-15,128.05,128.84,127.865,128.74,1304575
2019-02-14,127.13,127.95,126.23,126.93,1266508
2019-02-13,127.79,129.13,127.55,128.04,1350950
2019-02-12,126.43,127.37,126.11,127.26,1729467
2019-02-11,126.04,126.04,124.36,125.42,1610213
2019-02-08,126.53,126.76,124.62,125.79,1252718
2019-02-07,125.19,126.8,125.11,126.76,1083916
2019-02-06,125.98,125.98,124.87,125.55,1504900
2019-02-05,126.12,126.25,125.33,126.18,1306400
2019-02-04,126.49,126.5,125.02,126.04,1214137
2019-02-01,126.03,126.53,125.13,126.49,1064703
2019-01-31,125.4,125.8,124.38,125.54,1619940
2019-01-30,124.71,126.19,124.08,125.88,1682435
2019-01-29,124.74,125.47,124.38,124.82,1275628
2019-01-28,124.24,125.13,123.61,125.03,1284530
2019-01-25,125.01,126.17,124.54,124.98,1972751
2019-01-24,122.75,124.46,122.58,124.38,1621000
2019-01-23,122.67,123.245,120.6039,123.02,2008713
2019-01-22,123.5,125.5,121.3408,122.36,2155813
2019-01-18,123.72,124.41,122.74,124.01,1923862
2019-01-17,121.64,122.99,121.28,122.94,1109153
2019-01-16,122.29,122.58,121.18,122.3,1349813
2019-01-15,120.53,121.86,120.53,121.82,1373389
2019-01-14,119.87,120.97,119.79,120.58,1406827
2019-01-11,119.89,120.86,119.27,120.47,839353
2019-01-10,118.53,120.35,118.39,120.27,1061453
2019-01-09,118.66,119.56,117.98,118.68,1752991
2019-01-08,119.38,119.51,116.84,117.84,1403869
2019-01-07,118.21,119.54,117.71,118.3,1082816
2019-01-04,116.66,118.78,116.131,118.68,1793890
2019-01-03,117.05,117.3,115.06,115.26,1887516
2019-01-02,117.49,118.19,116.33,117.37,1793492
2018-12-31,118.48,119.75,118.05,119.75,1157343
2018-12-28,119.15,119.76,117.78,118.24,1386712
2018-12-27,115.75,118.71,114.66,118.67,1807354
2018-12-26,112.5,117.17,111.08,117.17,1931443
2018-12-24,115.41,115.87,112.6,112.63,1344681
2018-12-21,117.79,120.31,116.02,116.06,4523628
2018-12-20,118.5,119.44,116.93,117.32,2621915
2018-12-19,119.61,121.68,118.22,119.16,1829585
2018-12-18,120.41,121.07,118.42,119.3,1695152
2018-12-17,120.72,121.79,119.5,119.93,1829374
2018-12-14,120.33,121.4541,119.95,120.55,2097783
2018-12-13,122.03,122.61,120.72,121.5,1282355
2018-12-12,122.21,123.29,121.03,122.01,1703245
2018-12-11,123.68,124.42,120.45,120.97,1877235
2018-12-10,123.45,123.56,120.5,123,1534062
2018-12-07,124.64,126.19,122.8708,123.56,1679622
2018-12-06,125.49,126.43,121.75,125.41,2775867
2018-12-04,130.22,130.52,126.095,126.69,2141238
2018-12-03,130.57,130.92,127.61,130.11,1597320
2018-11-30,130.39,130.945,128.705,130.37,2142697
2018-11-29,130.05,131.21,129.27,130.63,1620642
2018-11-28,129.52,130.99,128.72,130.7,1579399
2018-11-27,129.86,130.57,128.31,129.61,1274182
2018-11-26,127.68,130.34,127.18,130.34,1850324
2018-11-23,127.44,127.65,126.36,126.6,405778
2018-11-21,128.1,129.54,127.31,127.76,1503249
2018-11-20,130.95,131.1,128.26,128.37,1893595
2018-11-19,128.93,130.57,128.6,130.52,2118142
2018-11-16,124.98,128.79,124.71,128.77,2734079
2018-11-15,122.48,125.61,121.4,125.59,2409278
2018-11-14,127.15,127.5,122.23,123.04,3153407
2018-11-13,126.88,128.27,126.43,126.81,1419931
2018-11-12,130.3,130.8,126.83,127.04,1794510
2018-11-09,131.14,131.81,130.28,131.03,1379390
2018-11-08,130.05,131.51,129.98,130.99,1879385
2018-11-07,129.12,130.37,128.22,130.28,1452385
2018-11-06,126.24,128.66,126.13,128.6,1586639
2018-11-05,125.16,127.38,125.16,126.53,1098194
2018-11-02,126.7,126.93,123.96,124.9,1637027
2018-11-01,124.98,125.34,124.02,125.2,1319960
2018-10-31,126.22,126.96,125.03,125.13,2161744
2018-10-30,122.97,126.01,122.09,125.87,2217034
2018-10-29,122.82,124.5,121.59,122.32,2322958
2018-10-26,121.02,122.11,119.665,121.29,3574598
2018-10-25,121.97,122.27,120.37,121.24,2318058
2018-10-24,123.47,123.6846,121.3,121.56,2291794
2018-10-23,122.5,124.58,122.3,123.8,2000962
2018-10-22,125.9,126.645,123.98,124.07,1413487
2018-10-19,124.33,126.79,124.01,126.07,2044573
2018-10-18,126.62,127.3,123.7,125.14,2818910
2018-10-17,124.77,127.19,124.5775,126.44,2106879
2018-10-16,123.82,124.85,123.34,124.75,1232649
2018-10-15,123.34,124.7,123.02,123.39,1305179
2018-10-12,124.26,125.1,121.465,123.65,2327414
2018-10-11,127.98,128,123.59,124.31,2438597
2018-10-10,130.91,131.6,128.01,128.17,1656660
2018-10-09,131.54,132.025,130.32,131.59,865220
2018-10-08,130.01,132.47,129.92,131.66,986765
2018-10-05,130.18,131.4399,129.83,130.13,870499
2018-10-04,129.88,130.875,129.55,130.79,1242661
2018-10-03,130.17,130.34,129.07,129.54,1547225
2018-10-02,128.69,129.6,128.24,129.51,1311101
2018-10-01,130,130.64,128.63,128.97,1363676
2018-09-28,128.71,129.92,128.22,129.71,1452896
2018-09-27,129.39,129.93,128.47,129.12,836456
2018-09-26,131.74,131.74,129.2,129.5,1317113
2018-09-25,133.1,133.1,131.14,131.29,844487
2018-09-24,134.44,134.44,132.72,132.83,1055682
2018-09-21,134.46,134.51,133.19,134.44,2738460
2018-09-20,133.33,134.61,133.1,134.15,1635721
2018-09-19,131.67,133.5,131.3719,132.5,1470874
2018-09-18,130,131.74,129.5042,131.37,1473585
2018-09-17,130.22,130.6,129.59,129.89,996190
2018-09-14,129,130.12,128.68,130.01,1194730
2018-09-13,128.5,129.41,127.738,128.83,1413372
2018-09-12,127.87,128.2,126.3,126.89,1750407
2018-09-11,126.52,128.31,125.71,127.85,1797064
2018-09-10,129.39,129.55,126.93,127.6,1840776
2018-09-07,131.54,132.11,129.97,130.09,1300171
2018-09-06,132.43,133.4,132.09,132.57,1274160
2018-09-05,132.02,133.31,132.02,132.59,1209475
2018-09-04,131.71,132.24,131.01,132.13,973903
2018-08-31,131.42,131.72,130.67,131.6,1002881
2018-08-30,132.55,132.64,131.1,131.65,1262069
2018-08-29,132.58,133.251,131.94,132.66,1024566
2018-08-28,132.05,132.77,132.05,132.28,1055959
2018-08-27,131.81,132.33,131.34,131.89,1277675
2018-08-24,130.06,130.68,129.85,130.51,1180305
2018-08-23,129.5,129.87,128.94,129.52,1115446
2018-08-22,131.88,131.88,129.26,129.41,1083857
2018-08-21,131.22,132.26,130.93,131.71,1267363
2018-08-20,130.75,131.64,130.5,131.42,1146993
2018-08-17,130.17,130.81,129.61,130.42,1664327
2018-08-16,129.26,130.965,129.1441,130.34,1324462
2018-08-15,127.12,129.09,126.92,128.77,1261555
2018-08-14,127.96,127.99,126.68,127.54,1143824
2018-08-13,128.69,129.3534,127.61,128.05,1209842
2018-08-10,128.73,129.16,127.61,128.87,957750
2018-08-09,129.1,130.12,128.61,129.56,859253
2018-08-08,129.87,129.87,129.11,129.21,1430674
2018-08-07,130.51,131.13,129.78,129.94,817521
2018-08-06,129.72,130.52,129.6,130,1544120
2018-08-03,128.14,129.7,127.73,129.7,1882815
2018-08-02,128.06,128.86,127,128.33,1778636
2018-08-01,130.03,130.45,128.91,128.96,1388477
2018-07-31,131.28,131.42,129.77,130.14,1679266
2018-07-30,130.52,131.975,130.13,131.1,1487663
2018-07-27,129.94,131.63,129.71,130.73,1966766
2018-07-26,127.25,130.12,126.4935,129.49,2253604
