datetime,open,high,low,close,volume
2019-02-15,304.5,308,303.9,307.88,3904947
2019-02-14,303.38,306.77,301,303.77,5200832
2019-02-13,312.35,312.75,305.57,308.17,5141617
2019-02-12,316.2,318.19,309.62,311.81,5517570
2019-02-11,311.6,318.6,310.5,312.84,7129713
2019-02-08,306.83,307.445,298.5,305.8,5844212
2019-02-07,313.3,314.7,303,307.51,6520611
2019-02-06,319.59,324.24,315.624,317.22,5038546
2019-02-05,312.49,322.44,312.2494,321.35,6742765
2019-02-04,312.98,315.3,301.88,312.89,7352082
2019-02-01,305.42,316.1,303.5,312.21,7283441
2019-01-31,301,311.5636,294,307.02,12569245
2019-01-30,300.45,309,298.49,308.77,11250318
2019-01-29,295.27,298.5566,291.8,297.46,4621692
2019-01-28,292.91,297.46,287.75,296.38,6423279
2019-01-25,294.39,298.5195,289.55,297.04,7258078
2019-01-24,283.03,293.68,279.2831,291.51,8012155
2019-01-23,292.5,294.5,281.69,287.59,12529993
2019-01-22,304.82,308,295.5,298.92,12066741
2019-01-18,323,327.1297,299.7301,302.26,24150763
2019-01-17,346.21,351.5,344.15,347.31,3676733
2019-01-16,344.78,352,343.5,346.05,4691739
2019-01-15,335,348.8,334.5,344.43,6056590
2019-01-14,342.38,342.5,334,334.4,5247284
2019-01-11,342.09,348.41,338.77,347.26,5039052
2019-01-10,334.4,345.39,331.79,344.97,6056354
2019-01-09,335.5,343.5025,331.47,338.53,5432945
2019-01-08,341.96,344.01,327.02,335.35,7008516
2019-01-07,321.72,336.74,317.7508,334.96,7551225
2019-01-04,306,318,302.73,317.69,7394116
2019-01-03,307,309.4,297.38,300.36,6965184
2019-01-02,306.1,315.13,298.8,310.12,11658648
2018-12-31,337.79,339.21,325.26,332.8,6302338
2018-12-28,323.1,336.24,318.41,333.87,9938992
2018-12-27,319.84,322.1717,301.5,316.13,8575133
2018-12-26,300,326.97,294.09,326.09,8163138
2018-12-24,313.5,314.5,295.195,295.39,5559913
2018-12-21,317.4,323.47,312.44,319.77,8016801
2018-12-20,327.0535,330.29,311.869,315.38,9071858
2018-12-19,337.6,347.01,329.74,332.97,8274181
2018-12-18,350.54,351.55,333.69,337.03,7099999
2018-12-17,362,365.7,343.88,348.42,7674008
2018-12-14,375,377.87,364.33,365.71,6337555
2018-12-13,370.15,377.44,366.75,376.79,7365854
2018-12-12,369.42,371.91,365.16,366.6,5027048
2018-12-11,369.91,372.1689,360.23,366.76,6308769
2018-12-10,360,365.98,353.12,365.15,6613455
2018-12-07,369,379.49,357.65,357.965,11511177
2018-12-06,356.01,367.38,350.76,363.06,7842508
2018-12-04,356.05,368.68,352,359.7,8461945
2018-12-03,360,366,352,358.49,8306511
2018-11-30,341.83,351.6,338.2648,350.48,5628895
2018-11-29,347,347.5,339.55,341.17,3080724
2018-11-28,345.99,348.28,342.21,347.87,4127578
2018-11-27,340.05,346.96,335.5,343.92,6358300
2018-11-26,325,346.22,325,346,7992141
2018-11-23,334.345,337.5,325.55,325.83,4202642
2018-11-21,352,353.1,337.3995,338.19,4686808
2018-11-20,341.75,349.8,333.55,347.49,8004709
2018-11-19,356.34,366.75,352.88,353.47,9708871
2018-11-16,345.19,355.7,345.1201,354.31,7206191
2018-11-15,342.33,348.58,339.04,348.44,4625719
2018-11-14,342.7,347.11,337.15,344,5040287
2018-11-13,333.16,344.7,332.2,338.73,5448597
2018-11-12,348.37,349.78,330.34,331.28,6941523
2018-11-09,349,354,345.23,350.51,5098846
2018-11-08,348.5,357.5755,348.44,351.4,7090674
2018-11-07,343.34,351.18,340.8,348.16,7374522
2018-11-06,339.07,348.8,336.09,341.06,6762889
2018-11-05,340.5,343.955,330.14,341.4,7831048
2018-11-02,343.74,349.2,340.91,346.41,7807971
2018-11-01,338.26,347.84,334.725,344.28,8000132
2018-10-31,332.54,342,329.1,337.32,7624348
2018-10-30,328.39,337.8999,322.26,329.9,9126704
2018-10-29,337.47,347.16,326.5,334.85,14486027
2018-10-26,308.25,339.9,306.65,330.9,27425520
2018-10-25,317.22,321,301.01,314.86,20840724
2018-10-24,301.05,304.44,285.73,288.5,20058258
2018-10-23,263.87,297.93,262.1,294.14,19027753
2018-10-22,260.68,261.86,252.59,260.95,5600260
2018-10-19,267.39,269.66,253.5,260,9375549
2018-10-18,269.29,271,263,263.91,5421184
2018-10-17,282.4,282.7,265.8032,271.78,8655542
2018-10-16,265.7,277.375,262.24,276.59,9526401
2018-10-15,259.06,263.28,254.5367,259.59,6199965
2018-10-12,261,261.99,252.01,258.78,7201404
2018-10-11,257.53,262.25,249.03,252.23,8167738
2018-10-10,264.61,265.51,247.77,256.88,12815278
2018-10-09,255.25,266.77,253.3,262.8,12060574
2018-10-08,264.52,267.7599,249,250.56,13472653
2018-10-05,274.65,274.88,260,261.95,17944537
2018-10-04,293.95,294,277.67,281.83,9814212
2018-10-03,303.33,304.6,291.57,294.8,7994988
2018-10-02,313.95,316.84,299.15,301.02,11743511
2018-10-01,305.77,311.44,301.05,310.7,21777597
2018-09-28,270.26,278,260.56,264.77,33649700
2018-09-27,312.9,314.96,306.91,307.52,8509084
2018-09-26,301.91,313.89,301.1093,309.58,7843216
2018-09-25,300,304.6,296.5,300.99,4481729
2018-09-24,298.48,302.9993,293.58,299.68,4842961
2018-09-21,297.7,300.58,295.37,299.1,5050478
2018-09-20,303.56,305.98,293.33,298.33,7349422
2018-09-19,280.51,300,280.5,299.02,8294917
2018-09-18,296.69,302.64,275.5,284.96,16547522
2018-09-17,290.04,300.87,288.13,294.84,6887577
2018-09-14,288.76,297.3256,286.52,295.2,6765612
2018-09-13,288.02,295,285.18,289.46,6340336
2018-09-12,281.44,292.5,278.6463,290.54,10015427
2018-09-11,279.47,282,273.55,279.44,9169989
2018-09-10,273.26,286.03,271,285.5,14283528
2018-09-07,260.1,268.35,252.2548,263.24,22491931
2018-09-06,284.8,291.17,278.88,280.95,7480760
2018-09-05,285.05,286.78,277.18,280.74,7720821
2018-09-04,296.94,298.19,288,288.95,8350469
2018-08-31,302,305.3082,298.6,301.66,5375104
2018-08-30,302.26,304.6,297.72,303.15,7216706
2018-08-29,310.27,311.85,303.69,305.01,7447392
2018-08-28,318.41,318.88,311.19,311.86,7649091
2018-08-27,318,322.435,308.81,319.27,13079288
2018-08-24,320.7,323.85,319.4,322.82,3602564
2018-08-23,319.14,327.32,318.1,320.1,5147286
2018-08-22,320.87,323.88,314.67,321.64,5945955
2018-08-21,310.61,324.79,309,321.9,13172230
2018-08-20,291.7035,308.5,288.2,308.44,17402335
2018-08-17,323.5,326.77,303.53,305.5,18958612
2018-08-16,339.91,342.28,333.82,335.45,6064033
2018-08-15,341.9059,344.49,332.14,338.69,9101258
2018-08-14,358.45,359.1995,347.1,347.64,6986427
2018-08-13,361.13,363.19,349.02,356.41,10463881
2018-08-10,354,360,346,355.49,11552044
2018-08-09,365.55,367.01,345.73,352.45,17183811
2018-08-08,369.09,382.64,367.12,370.34,24571163
2018-08-07,343.84,387.46,339.1501,379.57,30875768
2018-08-06,345.46,354.98,341.82,341.99,8564331
2018-08-03,347.81,355,342.53,348.17,13656486
2018-08-02,328.44,349.99,323.16,349.54,23214962
2018-08-01,297.99,303,293,300.84,10129430
2018-07-31,292.25,298.32,289.07,298.14,5076916
2018-07-30,295.9,296.1,286.13,290.17,6814072
2018-07-27,307.25,307.6933,295.3404,297.18,5703326
2018-07-26,304.85,310.7,303.6411,306.65,4630522
2018-07-25,296.74,309.62,294.5025,308.74,7094180
2018-07-24,304.4209,307.7171,292.5452,297.43,9590784
2018-07-23,301.84,305.5,292.8601,303.2,10992947
2018-07-20,321.23,323.24,311.7093,313.58,5166547
2018-07-19,316.33,323.54,314.01,320.23,5915345
2018-07-18,325,325.5,316.25,323.85,5624211
2018-07-17,308.81,324.74,308.5,322.69,6996232
2018-07-16,311.71,315.16,306.25,310.1,7818655
2018-07-13,315.58,319.5849,309.25,318.87,5875770
2018-07-12,321.43,323.23,312.77,316.71,5721166
2018-07-11,315.8,321.94,315.07,318.96,4884076
2018-07-10,324.56,327.6771,319.2,322.47,9471498
2018-07-09,311.99,318.52,308,318.51,7596753
2018-07-06,304.9545,312.07,302,308.9,8865451
2018-07-05,313.76,314.39,296.22,309.16,17476374
2018-07-03,331.75,332.49,309.69,310.86,12282638
2018-07-02,360.07,364.78,329.85,335.07,18759765
2018-06-29,353.33,353.86,342.41,342.95,6492396
2018-06-28,348.66,357.02,346.11,349.93,8398005
