datetime,open,high,low,close,volume
2019-02-15 16:00:00,9.51,9.535,9.455,9.455,967927
2019-02-15 15:45:00,9.5422,9.55,9.51,9.513,335772
2019-02-15 15:30:00,9.55,9.5699,9.5411,9.5411,244426
2019-02-15 15:15:00,9.54,9.5552,9.53,9.55,208199
2019-02-15 15:00:00,9.549,9.5535,9.53,9.53,217970
2019-02-15 14:45:00,9.57,9.57,9.54,9.54,184915
2019-02-15 14:30:00,9.5609,9.575,9.55,9.575,164162
2019-02-15 14:15:00,9.52,9.57,9.5102,9.5699,140234
2019-02-15 14:00:00,9.531,9.5399,9.501,9.53,130245
2019-02-15 13:45:00,9.587,9.587,9.53,9.53,201616
2019-02-15 13:30:00,9.5,9.58,9.49,9.58,536708
2019-02-15 13:15:00,9.469,9.5126,9.4503,9.5019,380224
2019-02-15 13:00:00,9.45,9.4696,9.45,9.46,114874
2019-02-15 12:45:00,9.46,9.4776,9.45,9.46,165554
2019-02-15 12:30:00,9.49,9.49,9.45,9.4566,363122
2019-02-15 12:15:00,9.494,9.52,9.49,9.49,319057
2019-02-15 12:00:00,9.53,9.5301,9.49,9.494,341234
2019-02-15 11:45:00,9.5201,9.53,9.5,9.53,470170
2019-02-15 11:30:00,9.58,9.599,9.52,9.52,345300
2019-02-15 11:15:00,9.56,9.62,9.54,9.5999,371420
2019-02-15 11:00:00,9.5847,9.6,9.5588,9.58,428702
2019-02-15 10:45:00,9.6217,9.6217,9.57,9.58,463238
2019-02-15 10:30:00,9.6473,9.6567,9.611,9.6292,387251
2019-02-15 10:15:00,9.6819,9.699,9.64,9.64,859006
2019-02-15 10:00:00,9.66,9.748,9.65,9.6898,605977
2019-02-15 09:45:00,9.76,9.82,9.66,9.67,1412214
2019-02-14 16:00:00,9.86,9.93,9.86,9.92,474740
2019-02-14 15:45:00,9.865,9.87,9.8162,9.85,247466
2019-02-14 15:30:00,9.88,9.88,9.85,9.859,218125
2019-02-14 15:15:00,9.87,9.8857,9.8,9.8857,433555
2019-02-14 15:00:00,9.85,9.88,9.8416,9.87,140592
2019-02-14 14:45:00,9.87,9.8828,9.8416,9.85,252975
2019-02-14 14:30:00,9.8773,9.88,9.85,9.8538,171954
2019-02-14 14:15:00,9.89,9.8985,9.87,9.8799,197282
