datetime,open,high,low,close,volume
2019-02-15,9.74,9.8259,9.45,9.46,10539560
2019-02-14,10.15,10.18,9.8,9.92,9725691
2019-02-13,9.98,10.12,9.92,9.99,7783424
2019-02-12,10.27,10.2916,10.02,10.07,8534635
2019-02-11,10.63,10.77,10.45,10.45,6835157
2019-02-08,10.91,11.01,10.71,10.71,7848702
2019-02-07,10.7,11.01,10.535,10.74,9736488
2019-02-06,10.47,10.65,10.3932,10.48,5978493
2019-02-05,10.48,10.63,10.34,10.46,6772469
2019-02-04,10.82,10.9279,10.48,10.49,6336822
2019-02-01,10.83,10.99,10.75,10.84,6763973
2019-01-31,11.19,11.22,10.82,10.89,7213830
2019-01-30,11.35,11.65,11.0401,11.16,8805403
2019-01-29,11.42,11.61,11.39,11.52,5044191
2019-01-28,11.6,11.71,11.36,11.47,8831200
2019-01-25,11.43,11.49,11.2,11.27,8531890
2019-01-24,11.97,11.9942,11.64,11.71,6971025
2019-01-23,11.7401,12.205,11.54,11.93,12611597
2019-01-22,11.49,12.05,11.42,11.85,11294538
2019-01-18,11.47,11.6089,11.15,11.29,10315968
2019-01-17,12.1,12.1,11.52,11.65,9669685
2019-01-16,12.19,12.19,11.77,11.96,8858973
2019-01-15,12.44,12.59,12.18,12.2,9432289
2019-01-14,12.4,12.59,12.2406,12.53,7890492
2019-01-11,12.35,12.44,12.105,12.18,8708238
2019-01-10,12.61,12.77,12.17,12.19,11557195
2019-01-09,12.55,12.72,12.24,12.37,12182519
2019-01-08,12.94,13.355,12.675,12.69,12761003
2019-01-07,14.02,14.17,13.06,13.27,9231887
2019-01-04,15.17,15.27,13.9,14.02,14797224
2019-01-03,15.26,15.98,14.9937,15.8,21832581
2019-01-02,15.83,16.045,14.81,14.96,15859907
2018-12-31,15.3,15.97,15.19,15.22,16605529
2018-12-28,15.72,16.0638,14.83,15.58,20583671
2018-12-27,16.52,17.38,15.75,15.76,12556877
2018-12-26,18.47,18.69,15.9001,15.95,30612733
2018-12-24,17.9,18.67,17.5977,18.62,22416672
2018-12-21,16.1399,17.7744,15.93,17.67,32309620
2018-12-20,15.68,16.885,15.4362,16.35,33246619
2018-12-19,14.67,15.81,14.1,15.55,23269334
2018-12-18,14.2,14.83,13.91,14.66,18884875
2018-12-17,13.82,14.84,13.46,14.62,21134218
2018-12-14,13.39,13.82,12.9606,13.68,14428220
2018-12-13,12.44,13.1361,12.32,13.08,15657032
2018-12-12,12.53,12.56,12.029,12.54,16002892
2018-12-11,12.31,13.1933,12.18,12.91,15788689
2018-12-10,12.72,13.44,12.5743,12.85,20560946
2018-12-07,12,12.93,11.71,12.74,24215979
2018-12-06,12.4,12.88,11.98,11.98,27235838
2018-12-04,10.62,11.965,10.54,11.87,22106672
2018-12-03,10.47,10.98,10.46,10.53,9863972
2018-11-30,11.11,11.1984,10.8,10.84,9951063
2018-11-29,11.07,11.3198,10.8277,11.03,9972117
2018-11-28,11.64,12.01,10.899,10.92,15018599
2018-11-27,11.66,11.86,11.54,11.79,10826194
2018-11-26,11.62,11.77,11.37,11.51,9294487
2018-11-23,12.25,12.25,11.63,11.95,6088614
2018-11-21,12.27,12.31,11.6,11.94,11065323
2018-11-20,12.15,12.535,11.87,12.42,16253314
2018-11-19,11.14,11.8699,11.08,11.74,12806946
2018-11-16,11.37,11.5,11.01,11.08,13664911
2018-11-15,11.89,11.9679,11.11,11.16,17155567
2018-11-14,11.1,11.8718,10.97,11.65,16977975
2018-11-13,11.17,11.46,10.8436,11.4,14509009
2018-11-12,10.67,11.33,10.64,11.29,13251766
2018-11-09,10.3,10.88,10.295,10.64,10968849
2018-11-08,10.17,10.22,9.92,10.09,7808301
2018-11-07,10.44,10.5499,10.01,10.04,11222789
2018-11-06,10.79,10.81,10.478,10.57,8230028
2018-11-05,10.71,11.05,10.5716,10.73,9330150
2018-11-02,10.7,11.035,10.51,10.71,15121542
2018-11-01,11.4,11.42,10.74,10.81,14180351
2018-10-31,11.32,11.59,11.18,11.55,14559665
2018-10-30,12.41,12.47,11.6301,11.69,22459397
2018-10-29,11.81,12.8484,11.47,12.41,22105099
2018-10-26,12.23,12.89,11.78,12.26,28701552
2018-10-25,12.46,12.54,11.66,11.87,21914744
2018-10-24,11.42,12.69,11.31,12.68,23557634
2018-10-23,11.55,11.97,11.11,11.37,23947588
2018-10-22,10.91,11.19,10.7745,11.09,19730608
2018-10-19,10.57,11.137,10.39,11.01,23089828
2018-10-18,10.21,10.7826,10.16,10.65,14686400
2018-10-17,10.07,10.485,10.05,10.08,16373338
2018-10-16,10.67,10.93,9.9203,9.98,14246662
2018-10-15,11.09,11.2578,10.6699,10.89,18573696
2018-10-12,10.58,11.39,10.56,11.02,24965431
2018-10-11,10.56,11.03,10.27,11.02,37975552
2018-10-10,9.66,10.4501,9.6332,10.41,23916881
2018-10-09,9.53,9.63,9.32,9.59,14771519
2018-10-08,9.49,9.71,9.38,9.47,10701837
2018-10-05,9.14,9.67,9.0818,9.43,21155994
2018-10-04,8.87,9.25,8.86,9.16,12359322
2018-10-03,8.92,9.035,8.67,8.79,15257640
2018-10-02,8.8,9.09,8.7135,9.02,12792188
2018-10-01,8.3,8.83,8.3,8.77,11015804
2018-09-28,8.58,8.58,8.345,8.41,9879131
2018-09-27,8.45,8.53,8.38,8.5,9438396
2018-09-26,8.21,8.53,8.21,8.5,9829428
2018-09-25,8.25,8.28,8.19,8.26,6119218
2018-09-24,8.26,8.47,8.22,8.32,11439837
2018-09-21,8.04,8.255,8.03,8.24,9708962
2018-09-20,8.23,8.315,8.1,8.12,9398648
2018-09-19,8.25,8.4284,8.135,8.34,7946585
2018-09-18,8.32,8.34,8.18,8.25,8795264
2018-09-17,8.09,8.38,8.07,8.36,10683480
2018-09-14,8.18,8.23,8.02,8.1,9274087
2018-09-13,8.09,8.25,8.06,8.19,8762550
2018-09-12,8.16,8.38,8.13,8.19,11152962
2018-09-11,8.2,8.285,8.055,8.14,9996394
2018-09-10,8.1,8.23,8.04,8.17,8250411
2018-09-07,8.24,8.33,8.08,8.22,11725507
2018-09-06,7.98,8.22,7.93,8.18,12715290
2018-09-05,7.97,8.22,7.97,8.02,10760022
2018-09-04,7.88,8.11,7.84,7.95,13718729
2018-08-31,7.99,7.999,7.804,7.85,7628737
2018-08-30,7.97,8.01,7.82,7.94,9393751
2018-08-29,7.98,8.0699,7.88,7.92,6448878
2018-08-28,7.96,8.11,7.92,8.01,6242767
2018-08-27,7.98,8.04,7.85,8,8999735
2018-08-24,8.1,8.125,8.01,8.04,6650417
2018-08-23,8.11,8.24,8.05,8.16,8082156
2018-08-22,8.18,8.2,8.05,8.09,7995147
2018-08-21,8.4,8.41,8.07,8.15,14763545
2018-08-20,8.45,8.59,8.39,8.45,7636035
2018-08-17,8.68,8.73,8.4929,8.52,8314201
2018-08-16,8.74,8.77,8.53,8.64,8168594
2018-08-15,8.62,9,8.6,8.87,13978138
2018-08-14,8.75,8.75,8.4811,8.54,8301364
2018-08-13,8.62,8.9,8.5715,8.79,10499752
2018-08-10,8.72,8.74,8.48,8.65,12460939
2018-08-09,8.62,8.6373,8.46,8.57,6646646
2018-08-08,8.62,8.8,8.57,8.63,7322368
2018-08-07,8.58,8.63,8.49,8.61,6057653
2018-08-06,8.86,8.8932,8.645,8.68,7091846
2018-08-03,8.69,8.94,8.62,8.84,7566495
2018-08-02,9.05,9.05,8.69,8.71,9859020
2018-08-01,8.93,9.12,8.84,8.9,8747006
2018-07-31,9.12,9.14,8.77,8.88,9781496
2018-07-30,9.01,9.195,8.88,9.17,11139769
2018-07-27,8.51,9.07,8.48,9,12370377
2018-07-26,8.64,8.66,8.38,8.53,7774078
2018-07-25,8.74,8.875,8.66,8.66,9205271
2018-07-24,8.37,8.85,8.325,8.75,10089465
2018-07-23,8.55,8.615,8.41,8.48,5000427
2018-07-20,8.46,8.53,8.3912,8.5,4956100
2018-07-19,8.62,8.695,8.39,8.41,6069001
2018-07-18,8.68,8.8,8.57,8.59,6835759
2018-07-17,8.79,8.8,8.58,8.66,5151770
2018-07-16,8.63,8.89,8.575,8.78,6269773
2018-07-13,8.6,8.6683,8.47,8.65,5161810
2018-07-12,8.56,8.78,8.54,8.59,6091506
2018-07-11,8.64,8.715,8.48,8.71,7818945
2018-07-10,8.34,8.64,8.305,8.5,6611880
2018-07-09,8.43,8.52,8.38,8.38,4919051
2018-07-06,8.75,8.81,8.51,8.54,6622566
2018-07-05,8.92,9.085,8.75,8.75,8477489
2018-07-03,9.08,9.105,8.94,9.06,5387949
2018-07-02,9.54,9.58,9.155,9.16,7901153
2018-06-29,9.25,9.38,9.14,9.37,5905113
2018-06-28,9.45,9.61,9.275,9.33,12314668
2018-06-27,8.97,9.425,8.91,9.42,10607726
2018-06-26,9.11,9.18,8.88,8.97,8044964
2018-06-25,8.83,9.29,8.8,9.13,13940444
2018-06-22,8.54,8.8,8.5262,8.73,6798391
2018-06-21,8.39,8.72,8.3843,8.64,9839510
2018-06-20,8.49,8.55,8.36,8.39,8847337
2018-06-19,8.77,8.92,8.58,8.6,9712103
2018-06-18,8.86,8.9,8.6,8.6,8272022
2018-06-15,8.83,8.93,8.72,8.74,7075333
2018-06-14,8.77,8.92,8.72,8.73,7156968
2018-06-13,8.74,8.91,8.71,8.87,5840335
2018-06-12,8.87,8.89,8.7,8.77,5537638
2018-06-11,8.9,8.96,8.83,8.88,3748498
2018-06-08,9,9.05,8.91,8.92,4825011
2018-06-07,8.85,9.13,8.81,9.01,7177239
2018-06-06,9.05,9.0732,8.86,8.86,5232064
2018-06-05,9.25,9.28,9.04,9.06,7076857
2018-06-04,9.27,9.45,9.22,9.23,5294801
2018-06-01,9.37,9.4588,9.27,9.35,6683333
2018-05-31,9.33,9.62,9.28,9.57,9117322
2018-05-30,9.64,9.64,9.27,9.33,12597653
2018-05-29,9.89,10.04,9.66,9.78,9802524
2018-05-25,9.74,9.79,9.67,9.74,5166142
2018-05-24,9.71,9.935,9.62,9.68,8518127
2018-05-23,9.81,9.84,9.64,9.69,7708931
2018-05-22,9.47,9.75,9.46,9.73,5787991
2018-05-21,9.62,9.62,9.475,9.52,7493323
