datetime,open,high,low,close,volume
2019-02-15,26.65,27.08,26.53,27.07,105057
2019-02-14,25.58,26.24,25.41,26.2,90566
2019-02-13,25.056,25.5,25.02,25.41,47814
2019-02-12,25.4,25.4578,24.67,24.81,44464
2019-02-11,24.61,24.72,24.45,24.6,38599
2019-02-08,25.14,25.14,24.535,25,74406
2019-02-07,25.21,25.25,24.17,24.69,77256
2019-02-06,24.69,25.3,24.5001,25.2,51539
2019-02-05,24.48,25.15,24.45,24.73,34421
2019-02-04,24.84,25.13,24.45,24.96,85258
2019-02-01,24.25,24.9327,24.25,24.8,48533
2019-01-31,24.74,24.8,23.81,24.05,60171
2019-01-30,24.24,24.74,24.1,24.41,37305
2019-01-29,23.76,24.15,23.6738,23.72,35540
2019-01-28,23.7,23.7699,23.25,23.45,54226
2019-01-25,24.39,24.42,24.25,24.3289,9611
2019-01-24,24.33,24.51,24.19,24.35,9113
2019-01-23,24.46,24.46,23.886,24.3103,27108
2019-01-22,24.71,24.7899,24.35,24.58,17390
2019-01-18,25.18,25.59,25.02,25.2964,85580
2019-01-17,24.39,25.08,24.21,24.96,27388
2019-01-16,24.58,24.83,24.07,24.73,26878
2019-01-15,24.27,24.73,24.27,24.68,28872
2019-01-14,24.42,24.46,23.8,23.94,34208
2019-01-11,24.65,24.92,24.4101,24.59,26540
2019-01-10,24.77,25.14,24.66,24.93,23976
2019-01-09,24.55,25.03,24.13,24.9631,100506
2019-01-08,23.69,23.95,23.45,23.81,26889
2019-01-07,23.89,24.294,23.4638,23.58,54559
2019-01-04,24,24.4,23.51,23.7,48166
2019-01-03,23.75,23.75,23.03,23.57,35626
2019-01-02,22.45,24.03,22.44,23.205,28787
2018-12-31,22.83,22.9899,22.27,22.91,58380
2018-12-28,22.62,23.545,22.32,22.59,16611
2018-12-27,22.85,22.96,22.34,22.822,26153
2018-12-26,22.05,23.35,22.05,23.35,72249
2018-12-24,22.75,22.79,22.1001,22.18,21542
2018-12-21,22.66,22.96,22.3561,22.69,40736
2018-12-20,23.52,23.76,22.81,22.9772,51178
2018-12-19,23.76,24.26,23.5672,23.68,32683
2018-12-18,24.33,24.33,23.29,23.45,65135
2018-12-17,25.23,25.24,24.4,24.4085,16325
2018-12-14,25.54,25.54,24.99,25.14,16073
2018-12-13,24.88,26.1,24.88,25.96,34284
2018-12-12,25.53,25.61,24.75,24.86,18173
2018-12-11,25.16,25.2,24.9349,25.14,15465
2018-12-10,25.35,25.6,24.72,24.81,29434
2018-12-07,26.1,26.53,25.77,25.81,30417
2018-12-06,24.76,25.28,24.28,25.18,70568
2018-12-04,25.25,25.69,25.05,25.11,22389
2018-12-03,25.4,25.438,24.88,25.203,25003
2018-11-30,24.45,24.9308,24.1706,24.47,34374
2018-11-29,24.42,25.11,24.358,24.9261,30694
2018-11-28,24.52,24.77,23.95,24.05,47648
2018-11-27,24.76,25.0038,24.145,24.61,25810
2018-11-26,24.77,25.18,24.75,24.8645,34667
2018-11-23,24.48,24.49,23.96,24.45,38703
2018-11-21,26.1611,26.62,26,26.03,48770
2018-11-20,26.65,26.65,25.5101,25.89,48751
2018-11-19,27.1,27.55,26.9,27.39,16893
2018-11-16,27.615,27.95,27.2,27.4,20153
2018-11-15,27.18,27.47,26.94,26.97,21082
2018-11-14,27.22,27.53,27.065,27.08,18572
2018-11-13,27.745,27.79,26.5,26.68,51034
2018-11-12,28.43,28.8,28.01,28.01,24278
2018-11-09,28,28.27,27.8,28.08,22722
2018-11-08,28.65,28.9,28.485,28.485,11811
2018-11-07,29.32,29.32,28.4799,28.51,34561
2018-11-06,29.47,29.47,28.88,29.34,17992
2018-11-05,29.73,29.85,29.15,29.15,21860
2018-11-02,29.63,29.81,29.43,29.47,23675
2018-11-01,30.44,30.44,29.37,29.82,29710
2018-10-31,31.04,31.16,30.29,30.31,22486
2018-10-30,31.07,31.57,31.07,31.22,14644
2018-10-29,31.49,31.78,31.35,31.36,15599
2018-10-26,30.79,31.51,30.718,31.49,22241
2018-10-25,31.37,31.47,31.1867,31.29,15598
2018-10-24,31.96,32.2,31.1502,31.1502,21614
2018-10-23,32.26,32.41,31.65,31.79,26106
2018-10-22,32.79,33.14,32.55,33.12,14611
