datetime,open,high,low,close,volume
2019-02-15 16:00:00,14.89,14.89,14.89,14.89,0
2019-02-15 15:59:00,14.89,14.89,14.89,14.89,0
2019-02-15 15:58:00,14.88,14.88,14.88,14.88,0
2019-02-15 15:57:00,14.88,14.88,14.88,14.88,0
2019-02-15 15:56:00,14.91,14.91,14.91,14.91,0
2019-02-15 15:55:00,14.94,14.94,14.94,14.94,0
2019-02-15 15:54:00,14.94,14.94,14.94,14.94,0
2019-02-15 15:53:00,14.95,14.95,14.95,14.95,0
2019-02-15 15:52:00,14.94,14.94,14.94,14.94,0
2019-02-15 15:51:00,14.94,14.94,14.94,14.94,0
2019-02-15 15:50:00,14.91,14.91,14.91,14.91,0
2019-02-15 15:49:00,14.89,14.89,14.89,14.89,0
2019-02-15 15:48:00,14.86,14.86,14.86,14.86,0
2019-02-15 15:47:00,14.8,14.8,14.8,14.8,0
2019-02-15 15:46:00,14.81,14.81,14.81,14.81,0
2019-02-15 15:45:00,14.84,14.84,14.84,14.84,0
2019-02-15 15:44:00,14.83,14.83,14.83,14.83,0
2019-02-15 15:43:00,14.83,14.83,14.83,14.83,0
2019-02-15 15:42:00,14.85,14.85,14.85,14.85,0
2019-02-15 15:41:00,14.84,14.84,14.84,14.84,0
2019-02-15 15:40:00,14.85,14.85,14.85,14.85,0
2019-02-15 15:39:00,14.86,14.86,14.86,14.86,0
2019-02-15 15:38:00,14.85,14.85,14.85,14.85,0
2019-02-15 15:37:00,14.83,14.83,14.83,14.83,0
2019-02-15 15:36:00,14.81,14.81,14.81,14.81,0
2019-02-15 15:35:00,14.82,14.82,14.82,14.82,0
2019-02-15 15:34:00,14.83,14.83,14.83,14.83,0
2019-02-15 15:33:00,14.88,14.88,14.88,14.88,0
2019-02-15 15:32:00,14.92,14.92,14.92,14.92,0
2019-02-15 15:31:00,14.93,14.93,14.93,14.93,0
2019-02-15 15:30:00,14.92,14.92,14.92,14.92,0
2019-02-15 15:29:00,14.93,14.93,14.93,14.93,0
2019-02-15 15:28:00,14.96,14.96,14.96,14.96,0
