datetime,open,high,low,close,volume
2019-02-15,16.82,16.82,14.79,14.91,0
2019-02-14,15.61,17.27,15.3,16.22,0
2019-02-13,15.46,15.91,15,15.65,0
2019-02-12,15.23,15.65,14.95,15.43,0
2019-02-11,16.17,16.5,15.34,15.97,0
2019-02-08,16.81,17.63,15.62,15.72,0
2019-02-07,15.66,17.89,15.51,16.37,0
2019-02-06,15.44,15.87,15.09,15.38,0
2019-02-05,15.79,15.94,15.04,15.57,0
2019-02-04,16.72,16.73,15.6,15.73,0
2019-02-01,16.63,16.83,16.08,16.14,0
2019-01-31,17.39,17.72,16.54,16.57,0
2019-01-30,19.15,19.31,17.54,17.66,0
2019-01-29,19.45,19.93,18.42,19.13,0
2019-01-28,18.56,20.42,18.42,18.87,0
2019-01-25,18.43,18.46,17.31,17.42,0
2019-01-24,19.69,20.25,18.63,18.89,0
2019-01-23,20.85,22.02,19.47,19.52,0
2019-01-22,18.53,21.15,18.2,20.8,0
2019-01-18,17.8,18.18,17.17,17.8,0
2019-01-17,19.51,19.72,17.85,18.06,0
2019-01-16,18.08,19.04,17.76,19.04,0
2019-01-15,18.53,19.2,17.98,18.6,0
2019-01-14,19.84,20.27,18.7,19.07,0
2019-01-11,19.68,20.16,18.12,18.19,0
2019-01-10,20.98,21.32,19.29,19.5,0
2019-01-09,20.44,22.8,19.48,19.98,0
2019-01-08,20.96,22.03,20.09,20.47,0
2019-01-07,22.06,22.71,20.91,21.4,0
2019-01-04,24.36,24.48,21.19,21.38,0
2019-01-03,25.68,26.6,24.05,25.45,0
2019-01-02,27.54,28.53,23.05,23.22,0
2018-12-31,27.59,27.64,25.33,25.42,0
2018-12-28,29.97,31.05,27.43,28.34,0
2018-12-27,31.2,33.8,29.66,29.96,0
2018-12-26,35.5,36.2,29.59,30.41,0
2018-12-24,29.29,36.1,29.16,36.07,0
2018-12-21,28.24,31.35,25.71,30.11,0
2018-12-20,26.09,30.3,24.68,28.38,0
2018-12-19,25.15,26.64,22.5,25.58,0
2018-12-18,24.68,26.14,23.64,25.58,0
2018-12-17,22.36,25.88,21.97,24.52,0
2018-12-14,21.57,22.47,20.95,21.63,0
2018-12-13,21,21.57,20.34,20.65,0
2018-12-12,21.91,21.91,20.5,21.46,0
2018-12-11,22.96,23.6,21.39,21.76,0
2018-12-10,23.95,25.94,22.5,22.64,0
2018-12-07,22.42,24.71,19.9,23.23,0
2018-12-06,23.53,25.94,20.94,21.19,0
2018-12-04,16.84,21.94,16.26,20.74,0
2018-12-03,16.04,17.28,15.94,16.44,0
2018-11-30,19.18,19.91,18.03,18.07,0
2018-11-29,18.65,20.48,18.59,18.79,0
2018-11-28,18.87,19.38,18.18,18.49,0
2018-11-27,19.41,19.93,18.7,19.02,0
2018-11-26,20.78,20.8,18.67,18.9,0
2018-11-23,21.23,22.65,20.65,21.52,0
2018-11-21,21.66,22.31,20.11,20.8,0
2018-11-20,20.76,23.81,20.37,22.48,0
2018-11-19,18.78,20.99,18.52,20.1,0
2018-11-16,20.04,21.36,18.1,18.14,0
2018-11-15,20.41,22.97,19.94,19.98,0
2018-11-14,20.52,22.36,19.3,21.25,0
2018-11-13,19.45,21.25,19.11,20.02,0
2018-11-12,17.26,20.71,17.25,20.45,0
2018-11-09,16.87,18.41,16.84,17.36,0
2018-11-08,16.18,17.2,16.09,16.72,0
2018-11-07,18.03,18.05,16.33,16.36,0
2018-11-06,19.84,20.6,19.69,19.91,0
2018-11-05,20.58,20.87,19.64,19.96,0
2018-11-02,18.52,21.61,18.05,19.51,0
