datetime,open,high,low,close,volume
2019-02-15,254.026,255,253.81,254.98,2806559
2019-02-14,251.65,253.36,250.83,252.2,3247823
2019-02-13,252.82,253.6571,252.39,252.76,3569322
2019-02-12,250.38,252.36,250.34,252,5980510
2019-02-11,249.28,249.513,248.22,248.78,2986595
2019-02-08,247.01,248.71,246.2,248.65,2512937
2019-02-07,249.04,249.5762,246.62,248.33,3907773
2019-02-06,250.75,251.22,249.95,250.79,2052224
2019-02-05,250.44,251.33,249.92,251.1,3613583
2019-02-04,248.3,250.02,247.5891,249.99,2541718
2019-02-01,248.31,249.29,247.455,248.22,3718458
2019-01-31,245.86,248.53,245.68,248.01,5308074
2019-01-30,243.66,246.78,242.88,245.96,6028369
2019-01-29,242.55,243.12,241.27,242.13,2436863
2019-01-28,242.09,242.49,240.63,242.43,2407817
2019-01-25,244.11,245.11,243.67,244.32,3677453
2019-01-24,241.9,242.82,240.91,242.26,2197083
2019-01-23,242.68,243.34,239.579,242.02,3076411
2019-01-22,243.39,243.58,239.97,241.66,5786312
2019-01-18,243.56,245.37,242.76,244.92,4943293
2019-01-17,239,242.55,238.95,241.67,3058990
2019-01-16,239.72,240.765,239.52,239.88,4066725
2019-01-15,236.97,239.585,236.97,239.35,5103721
2019-01-14,236.1,237.39,235.69,236.58,2653373
2019-01-11,236.85,238.0022,236.24,237.89,2551033
2019-01-10,235.65,238.17,234.8497,238,2813503
2019-01-09,236.71,237.94,235.46,237.01,4564975
2019-01-08,236.05,236.46,233.43,235.92,3546649
2019-01-07,232.29,235.23,231.32,233.65,3706014
2019-01-04,227.54,232.62,227.15,231.91,5100088
2019-01-03,228.1,228.42,223.97,224.5,3330026
2019-01-02,226.18,230.85,226.02,229.99,4891329
2018-12-31,229.31,229.97,227.45,229.81,6683957
2018-12-28,229.32,231.07,226.5171,227.76,7436353
2018-12-27,222.9606,228.12,219.6,228.05,9578360
2018-12-26,216.88,226.1,214.83,225.95,11597965
2018-12-24,219.74,220.8,215.07,215.07,8493506
2018-12-21,226.74,229.46,220.57,221.16,11811553
2018-12-20,228.35,229.9,223.54,225.65,12141874
2018-12-19,233.21,237,227.78,229.42,8215557
2018-12-18,235,235.68,231.479,233.14,4691397
2018-12-17,237.06,238.22,231.68,233.23,6127188
2018-12-14,241.65,242.63,238.77,239.38,5088580
2018-12-13,244.86,245.76,242.7,243.88,2610765
2018-12-12,245.8,247.16,243.85,243.96,4117033
2018-12-11,245.95,246.12,241.19,242.62,4543174
2018-12-10,242,243.62,237.62,242.55,5983702
2018-12-07,247.63,249.24,241.37,242.26,3928373
2018-12-06,244.42,248.09,241.1301,248.02,7712736
2018-12-04,255.85,256.27,248.06,248.65,3837367
2018-12-03,257.65,257.74,255.06,256.61,3942694
2018-11-30,251.64,253.94,251.35,253.48,2992752
2018-11-29,251.54,253.25,250.36,251.81,3279417
2018-11-28,247.72,252.33,246.75,252.33,3723260
2018-11-27,244.73,246.6,244.12,246.57,2849731
2018-11-26,244.23,245.84,243.85,245.8,2498530
2018-11-23,241.8,243.3459,241.73,242.01,830910
2018-11-21,244.24,245.44,243.52,243.58,2425494
2018-11-20,243.84,245.32,241.83,242.77,5000937
2018-11-19,250.94,251.205,246.35,247.32,2973794
2018-11-16,249.77,252.47,249.26,251.49,2342780
2018-11-15,247.02,251.39,245.43,250.85,3911900
2018-11-14,251.96,252.34,246.66,248.28,3619875
2018-11-13,250.96,253.01,249.28,249.99,3097001
2018-11-12,254.69,254.96,249.95,250.41,2710563
2018-11-09,256.5,256.64,253.81,255.34,3078726
2018-11-08,257.49,258.4368,256.65,257.72,2467027
2018-11-07,255.07,258.32,254.65,258.16,3090762
2018-11-06,251.18,252.975,251.1172,252.82,2255176
2018-11-05,250.32,251.792,249.39,251.23,1912193
2018-11-02,252.44,252.9,247.75,249.81,3184459
2018-11-01,249.63,251.54,248.4605,251.37,2870694
2018-10-31,248.72,251.08,248.27,248.79,4073392
2018-10-30,242.31,246.38,241.8,246.21,3619131
2018-10-29,247.03,248.3499,238.79,242.5,5126245
