datetime,open,high,low,close,volume
2019-02-15,33.09,33.35,32.525,32.59,24096764
2019-02-14,33.93,34.54,33.13,33.77,26329934
2019-02-13,32.98,33.55,32.82,33.17,18414076
2019-02-12,33.07,33.47,32.85,33.25,20966912
2019-02-11,33.77,34.38,33.52,33.86,13598495
2019-02-08,35.44,35.77,34.16,34.23,19227106
2019-02-07,34.55,36.01,34.02,34.65,29786465
2019-02-06,33.44,33.91,33.08,33.53,16798400
2019-02-05,33.7,33.98,32.96,33.71,20677246
2019-02-04,34.93,35.16,33.84,34,18481791
2019-02-01,35.33,35.65,34.9,35.09,24996550
2019-01-31,36.9,36.92,35.43,35.43,22093490
2019-01-30,38.03,38.72,36.89,36.96,20963295
2019-01-29,38.31,39.3,37.995,38.66,15943550
2019-01-28,38.59,39.99,38.55,38.77,19863502
2019-01-25,37.83,38.08,37.13,37.23,12152800
2019-01-24,40.15,40.64,38.15,38.68,7312557
2019-01-23,39.71,42.49,39.6,40.1,6425790
2019-01-22,37.5,40.87,37.4,40.32,5931433
2019-01-18,36.94,37.49,36.34,37.06,2594700
2019-01-17,38.7,38.71,37.42,38,2495409
2019-01-16,37.28,38.43,37.13,38.43,4652020
2019-01-15,39.05,39.22,37.62,37.67,2258500
2019-01-14,40.4,40.41,38.83,39.38,1186860
2019-01-11,41.2,41.32,39.26,39.27,5462877
2019-01-10,41.75,42.28,40.59,40.59,1811921
2019-01-09,41.67,41.99,40.56,41.02,3992741
2019-01-08,42.14,43.62,41.88,42.01,945458
2019-01-07,43.53,44.1415,42.35,42.88,2563690
2019-01-04,45.81,46.03,43.73,43.86,1305549
2019-01-03,46.6,48.66,46.29,47.64,1019892
2019-01-02,48.47,48.798,45.44,45.74,2054900
2018-12-31,47.48,48.05,46.89,46.99,807561
2018-12-28,48.86,50.3,47.62,48.71,1247379
2018-12-27,49.69,51.98,48.41,48.79,1014919
2018-12-26,49.15,50.25,46.74,46.81,829627
2018-12-24,47.71,49.46,47.43,49.43,433603
2018-12-21,44.86,47.6,44.19,47.07,2234916
2018-12-20,43.75,46.15,43.02,44.81,212600
2018-12-19,42.5,43.96,40.61,42.64,316267
2018-12-18,41.9,43.95,41.81,42.79,5163448
2018-12-17,40.98,43.41,40.38,42.59,3723461
2018-12-14,39.91,40.83,39.4,40.6,78836
2018-12-13,39.1,39.9,38.59,39.01,1107415
2018-12-12,38.91,39.63,38.43,39.62,106679
2018-12-11,38.68,41.26,38.59,39.9372,998869
2018-12-10,40.38,42.3,39.69,39.93,100407
2018-12-07,37.67,40.99,37.04,40.32,409499
2018-12-06,39.77,41.62,37.56,37.79,297852
2018-12-04,32.29,37.391,32.26,36.84,120371
2018-12-03,32,32.95,31.83,32.6,3035637
2018-11-30,35.5105,35.5105,34.3,34.47,18950
2018-11-29,35.37,36.53,34.96,35.47,30095
2018-11-28,35.355,36.15,34.55,34.84,49341
2018-11-27,37.19,37.24,35.81,35.9,23295
2018-11-26,37.88,37.88,36.53,36.55,22911
2018-11-23,39.2,39.37,38.46,38.74,10742
2018-11-21,38.1424,38.92,37.95,38.41,60912
2018-11-20,39.48,40.2919,38.74,39.33,104022
2018-11-19,35.22,37.45,35.1,37.25,68341
2018-11-16,37.51,37.75,35.07,35.19,23791
2018-11-15,37.75,37.89,36.73,36.88,29982
2018-11-14,35.63,38.13,35.6,37.27,27617
2018-11-13,36.01,37.3,35.41,36.33,37205
2018-11-12,33.67,36.2,33.67,36.06,61107
2018-11-09,32.83,34.14,32.798,33.2328,24053
2018-11-08,32.3798,32.7916,31.71,32.5,10306
2018-11-07,33.82,33.82,32.55,32.65,61199
2018-11-06,36.27,36.37,35.08,35.08,14537
2018-11-05,36.76,36.89,36.05,36.31,9108
2018-11-02,35.81,37.95,35.5,36.66,35832
2018-11-01,37.83,38.27,36.3401,36.37,40902
2018-10-31,38.04,38.55,37.04,37.58,26726
2018-10-30,40.66,40.66,38.72,38.81,42847
2018-10-29,38.48,42.14,38.05,40.34,46104
2018-10-26,40.41,41.65,38.78,39.99,121459
2018-10-25,38.3,39.27,37.11,37.86,43991
2018-10-24,35.65,38.66,35.5,38.66,19178
2018-10-23,37.57,38.56,35.27,35.89,53067
2018-10-22,34.05,35.98,34.05,34.58,18523
2018-10-19,34.06,35.48,33.75,34.27,24690
2018-10-18,33.23,35.69,32.9,34.85,14377
2018-10-17,31.93,34.13,31.93,32.46,73022
2018-10-16,33.44,33.69,31.98,32.08,265450
2018-10-15,34.8023,35.6399,33.84,34.27,23860
2018-10-12,33.64,37.16,33.64,34.07,16728
2018-10-11,33.58,38.4,32.76,36.86,97084
2018-10-10,29.9,34.04,29.9,33.95,74313
2018-10-09,29.38,29.42,29.08,29.08,2207
2018-10-08,29.19,30.4401,28.5528,28.64,22523
2018-10-05,27.3,29.84,27.07,28.24,26000
2018-10-04,26.86,28.8,26.68,27.8,18600
2018-10-03,26.06,26.44,26.04,26.2,22760
2018-10-02,26.5,26.52,26.32,26.4,4657
2018-10-01,26,26.6401,25.9401,26.4,4582
2018-09-28,26.92,26.92,26.7,26.7,6745
2018-09-27,26.86,26.86,26.74,26.74,28300
2018-09-26,26.56,27,26.42,27,2819
2018-09-25,26.34,26.92,26.34,26.92,3785
2018-09-24,26.8,27.24,26.66,26.67,3647
2018-09-21,26.66,26.666,26.3,26.5661,10796
2018-09-20,26.68,26.76,26.44,26.64,21794
2018-09-19,27.25,27.25,26.94,27.08,10489
2018-09-18,27.98,28.06,27.64,28.05,9417
2018-09-17,27.34,28.2,27.26,28.2,38175
