datetime,open,high,low,close,volume
2019-02-15,144.55,144.91,143.815,144.91,6536038
2019-02-14,142.98,143.48,142.4,143.16,6314035
2019-02-13,142.89,144.7,142.865,143.49,6885550
2019-02-12,141.79,142.8,141.25,141.99,6090351
2019-02-11,141.26,142.2877,140.45,140.8,7600100
2019-02-08,138.69,140.4,138.52,140.38,5950895
2019-02-07,139.92,141.06,139.21,140.17,10675712
2019-02-06,141.96,142.42,141.05,141.49,6146859
2019-02-05,142,142.945,141.83,142.53,8455658
2019-02-04,139.79,141.517,139.18,141.5,11882736
2019-02-01,135.39,140.35,135.26,140.15,13248305
2019-01-31,134.39,135.73,133.3,135.01,20095659
2019-01-30,136.1,137.895,135.51,137.6,8078091
2019-01-29,136.59,136.69,134.11,135,7457711
2019-01-28,137.51,137.51,134.81,135.99,9857213
2019-01-25,139,139.9,137.97,138.67,9759451
2019-01-24,137.11,138.32,136.52,137.7,4925199
2019-01-23,138.77,138.98,136.1478,137.01,5465773
2019-01-22,137.9,139.52,136.975,138.05,8102321
2019-01-18,138.31,138.6,136.64,138.5,10263458
2019-01-17,136.97,137.91,136.59,137.28,5864878
2019-01-16,138.4,138.87,137.07,137.34,7257982
2019-01-15,136.96,137.72,135.25,137.34,7594993
2019-01-14,136.99,138.13,136.65,137.1,8666670
2019-01-11,137.75,138.6,137.41,138.06,5860051
2019-01-10,136.81,138.82,136.36,138.67,12514916
2019-01-09,138.3,139.48,137.62,138.41,9987569
2019-01-08,137.97,138.19,135.96,136.8,9243043
2019-01-07,134.45,137.169,134.04,136.06,12928362
2019-01-04,130.44,134.5886,130.13,133.65,11065782
2019-01-03,131.21,131.28,127.88,128.13,9428280
2019-01-02,130,133.74,129.6,132.92,8788010
2018-12-31,131.68,132.44,130.23,131.94,7976007
2018-12-28,133.08,133.62,129.66,130.94,7381742
2018-12-27,127.99,132.01,126.52,132.01,10882979
2018-12-26,123.02,130.24,123,130.23,13499510
2018-12-24,122.08,125.21,121.6,121.73,8617681
2018-12-21,127.18,130.33,122.9501,124.26,25448609
2018-12-20,130.16,132.01,127.15,128.76,18091669
2018-12-19,132.93,135.87,129.52,131.26,13819008
2018-12-18,132.29,134.17,131.8,132.66,12762333
2018-12-17,134.21,134.43,130.69,131.4,11796196
2018-12-14,135.69,136.72,134.55,135.09,9351186
2018-12-13,138.3,139.13,136.15,137.54,8780914
2018-12-12,139.3,140.88,137.75,137.8,10387198
2018-12-11,139.94,140.05,135.92,136.81,12466320
2018-12-10,136.25,138.27,134.8555,137.88,15744294
2018-12-07,140.82,142.13,135.9938,137.11,14007711
2018-12-06,135.04,141.11,133.48,141.05,16391896
2018-12-04,143.13,144.35,138.5,138.64,13988900
2018-12-03,145,145.72,143.855,145,11283568
2018-11-30,139.01,142.26,138.63,141.71,11362793
2018-11-29,140.69,140.7,138.71,139.1,8751920
2018-11-28,137.07,141.54,136.8686,141.38,11265076
2018-11-27,135.28,136.31,134.12,135.91,7877868
2018-11-26,134.6,136.52,134.25,135.94,9144597
2018-11-23,132.59,134.25,132.49,132.87,3676032
2018-11-21,134.36,135.78,133.63,134.42,7416670
2018-11-20,130.31,134.53,129.54,133.37,12720172
2018-11-19,140.47,140.57,134.25,134.76,16252967
2018-11-16,140.42,141.84,139.92,140.18,8628027
2018-11-15,138.85,141.91,137.93,141.84,8564991
2018-11-14,142.02,142.6,138.4128,139.49,6613922
2018-11-13,140.35,141.9,139.01,139.72,6286973
2018-11-12,143.42,143.64,139.17,139.72,11335081
2018-11-09,144.2,144.57,142.36,143.93,8339828
2018-11-08,144.6,145.46,143.652,145.23,5927356
2018-11-07,142.34,144.9,142.32,144.78,20502121
2018-11-06,139.8,140.91,139.72,140.79,4732703
2018-11-05,139.8,140.21,138.07,139.8,6280034
2018-11-02,141.11,141.4546,137.85,139.78,17063121
2018-11-01,139,140.87,137.49,140.83,16023953
2018-10-31,134.99,139.12,134.99,137.85,13205283
2018-10-30,133.08,134.86,129.79,132.76,15107555
2018-10-29,139.61,141.51,132.27,134.33,12768190
2018-10-26,137.98,139.87,136.06,137.74,12034937
2018-10-25,135.45,140.9,132.5,140.52,14985905
2018-10-24,139.7,140.18,134,134.26,13849587
2018-10-23,136.89,140.04,135.59,139.12,10736088
2018-10-22,140.97,141.54,139.51,140.64,6099509
2018-10-19,139.9,142.19,139.38,140.08,8696873
2018-10-18,142.46,142.46,137.95,139.29,10222553
2018-10-17,142.34,142.86,140.73,142.45,9170646
2018-10-16,138.71,142.14,138.68,141.74,11059518
2018-10-15,139.9,140.06,137.22,137.23,7953001
2018-10-12,138.48,140.98,137.43,140.06,12993257
2018-10-11,134.09,137.24,132.26,133.73,15657170
2018-10-10,142.57,142.69,135.21,135.52,15450100
2018-10-09,141.46,143.29,141.12,142.31,10798415
2018-10-08,145.01,145.01,140.18,141.89,11637314
2018-10-05,146.64,147.41,144.4,145.36,7085718
2018-10-04,149.18,149.28,146.1,146.76,9208887
2018-10-03,150.71,150.71,149.19,149.37,7521101
2018-10-02,150.84,150.84,149.17,149.67,8047706
2018-10-01,150.89,151.56,150.61,150.79,9802691
2018-09-28,149.81,150.37,149.55,150.09,6035936
2018-09-27,149.9,150.64,149.562,150.02,5868620
2018-09-26,150,150.42,149.04,149.27,5852463
2018-09-25,149.71,149.96,149.1,149.58,4230860
2018-09-24,149.16,149.65,147.27,149.11,6706692
2018-09-21,149.95,150.26,149.35,150.05,15628076
2018-09-20,147.99,149.485,147.2,149.24,7172740
2018-09-19,148.28,148.82,147.251,147.42,7432335
2018-09-18,146.2,148.0897,145.95,147.63,5692208
2018-09-17,147.83,147.9,145.83,146.18,7708643
2018-09-14,147.91,148.37,147.35,147.84,4928283
2018-09-13,147.15,148.065,147.09,147.63,5803447
2018-09-12,145.85,146.8,145.0733,146.57,6964135
2018-09-11,143.46,145.52,143.25,145.49,9896017
2018-09-10,144.13,144.44,143.21,144.08,5362684
2018-09-07,143.99,144.44,142.75,143.2,13626619
2018-09-06,143.29,144.7,142.54,144.5,9589246
2018-09-05,147,147.82,142.55,142.67,11363400
2018-09-04,146.93,147.86,146.6669,147.8,7638091
2018-08-31,146.74,147.64,146.5,146.89,5786569
2018-08-30,146.82,147.71,146.36,146.74,7804963
2018-08-29,145.46,147.2999,145.42,147.03,5192935
2018-08-28,145.63,146.17,144.87,145.2,4926041
2018-08-27,144.99,145.6,144.71,145.4,7194938
2018-08-24,142.32,144.38,142.32,144.2,5714023
2018-08-23,141.01,142.445,140.77,142.1,4427093
2018-08-22,139.85,141.53,139.85,141.14,4191949
2018-08-21,141,141.4574,139.8,140.04,6854347
2018-08-20,141.54,141.6,140.7,140.94,4662168
2018-08-17,140.78,141.71,140.565,141.33,7699607
2018-08-16,141.07,141.49,140.42,140.65,5931651
2018-08-15,140.35,140.69,138.84,139.92,5288739
2018-08-14,140.3,140.99,139.88,140.76,5888925
2018-08-13,140.53,141.24,139.83,140.21,4817496
2018-08-10,139.88,140.7401,139.25,139.73,6523759
2018-08-09,140.73,141.24,139.9,140.01,5679260
2018-08-08,139.98,140.99,139.83,140.68,5389491
2018-08-07,139.98,140.69,139.8726,140.28,10034524
2018-08-06,139.65,140.26,139.05,139.71,5143228
2018-08-03,139.29,139.86,137.94,139.82,4617813
2018-08-02,137.45,139.19,137,138.92,12300023
2018-08-01,137.74,138.735,137.41,138.25,7087731
2018-07-31,137.13,138.02,135.63,136.74,7683341
2018-07-30,140.13,140.42,135.31,136.48,12812351
2018-07-27,143.08,143.14,139.21,140.71,7015207
2018-07-26,141.61,142.79,139.53,142.5,10520800
2018-07-25,140.34,142.77,139.9,142.64,8386662
2018-07-24,140.99,141.4725,139.51,140.03,8336698
2018-07-23,140.66,140.97,139.64,140.03,7723617
2018-07-20,140,141.47,139.92,140.99,7156679
2018-07-19,140.95,140.99,139.93,140.13,7937007
2018-07-18,139.91,141.17,139.37,140.9,7008550
2018-07-17,138.18,139.91,137.42,139.64,5412609
2018-07-16,139.42,139.55,138.16,138.46,4970287
