datetime,open,high,low,close,volume
2019-02-15,54.1,54.45,53.8405,54.35,12635410
2019-02-14,53.88,54.08,53.55,53.84,11388507
2019-02-13,54.45,54.62,54.325,54.45,10809562
2019-02-12,54.04,54.51,53.96,54.35,11694050
2019-02-11,53.84,53.98,53.6944,53.93,6876160
2019-02-08,53.43,53.79,53.23,53.79,11100066
2019-02-07,53.35,53.58,53.17,53.54,14518998
2019-02-06,53.42,53.67,53.42,53.58,19006094
2019-02-05,53.6,53.71,53.42,53.57,11296082
2019-02-04,53.21,53.56,53.11,53.56,13367542
2019-02-01,53.55,53.55,53,53.22,14423443
2019-01-31,52.43,53.53,52.31,53.39,17886515
2019-01-30,52.12,52.54,52,52.42,13934622
2019-01-29,52.05,52.18,51.84,52.07,11500374
2019-01-28,51.62,51.97,51.445,51.95,10996666
2019-01-25,52.1,52.31,51.66,51.73,12920339
2019-01-24,52.31,52.32,51.585,51.94,17727217
2019-01-23,52.37,52.74,52.12,52.59,23804728
2019-01-22,52.31,52.41,51.55,51.97,20877708
2019-01-18,52.13,52.61,52.07,52.45,11957618
2019-01-17,51.53,51.935,51.47,51.83,10196398
2019-01-16,51.87,51.87,51.42,51.61,13484834
2019-01-15,51.37,51.94,51.34,51.89,11447704
2019-01-14,51.5,51.61,51.3,51.38,7811522
2019-01-11,51.59,51.66,51.35,51.63,11732378
2019-01-10,51.08,51.57,50.94,51.48,32431666
2019-01-09,51.65,51.7001,51.06,51.18,15684516
2019-01-08,51.49,51.79,51.24,51.66,28273829
2019-01-07,51.13,51.53,50.73,51.19,15143256
2019-01-04,50.52,51.26,50.41,51.26,19003481
2019-01-03,50.39,50.91,50.11,50.19,22074830
2019-01-02,50.24,50.64,49.95,50.48,20459341
2018-12-31,50.7,50.82,50.31,50.78,14959571
2018-12-28,50.94,51.15,50.3719,50.57,24436663
2018-12-27,49.78,50.61,49.0401,50.57,35926853
2018-12-26,48.83,50.09,48.33,50.09,26670627
2018-12-24,50.05,50.22,48.69,48.73,23086842
2018-12-21,50.72,51.83,50.18,50.18,38484583
2018-12-20,51.87,51.89,50.68,51.17,43414993
2018-12-19,52.86,53.2756,51.86,52.1,46289639
2018-12-18,53.38,53.49,52.31,52.61,27349684
2018-12-17,54.37,54.5,52.92,53.24,27324211
2018-12-14,55.09,55.1582,54.372,54.5,20262678
2018-12-13,55.17,55.6162,55.1,55.44,16987811
2018-12-12,55.51,55.68,55.07,55.1,18735225
2018-12-11,55.1,55.57,54.87,55.17,25677396
2018-12-10,55.03,55.03,53.88,54.72,44469000
2018-12-07,55.37,55.5662,54.48,54.72,23139524
2018-12-06,55.18,55.44,54.245,55.42,32514026
2018-12-04,56.41,56.615,55.3301,55.36,27634987
2018-12-03,56.46,56.46,55.73,56.31,20855748
2018-11-30,55.89,56.4,55.75,56.26,16551866
2018-11-29,55.72,56.07,55.65,55.9,13284960
2018-11-28,55.26,55.82,55.09,55.81,21973733
2018-11-27,54.77,55.37,54.74,55.35,15954376
2018-11-26,54.87,55.14,54.59,54.86,13125453
2018-11-23,54.55,55.03,54.42,54.79,8700837
2018-11-21,55.01,55.14,54.48,54.6,16604574
2018-11-20,55.8,56.08,54.89,55.04,33023203
2018-11-19,56.08,56.385,55.74,55.97,16727183
2018-11-16,55.89,56.2849,55.69,56.06,15212781
2018-11-15,55.82,55.92,55.39,55.92,25604689
2018-11-14,56.49,56.49,55.74,56.01,17577624
2018-11-13,56.55,56.76,56.115,56.39,23146484
2018-11-12,56.66,56.98,56.41,56.52,15950713
2018-11-09,56.47,57,56.47,56.82,18510894
2018-11-08,56.18,56.58,56.17,56.49,12890220
2018-11-07,56.37,56.48,55.87,56.46,15067237
2018-11-06,55.79,56.16,55.6,56.14,15626491
2018-11-05,55.2,55.9461,55.12,55.8,19972279
2018-11-02,55.4,55.47,54.625,55.11,28704131
2018-11-01,55.13,55.57,54.8477,55.4,22589800
2018-10-31,55.52,55.52,54.57,55.01,30135113
2018-10-30,54.82,55.58,54.68,55.53,33148141
2018-10-29,54.2,54.83,53.945,54.45,31687523
2018-10-26,54.5,54.65,53.59,53.83,39310579
2018-10-25,54.62,55.08,54.15,54.88,30018203
2018-10-24,54.56,55.52,54.4,54.75,36761859
2018-10-23,53.9636,54.66,53.65,54.52,30466629
2018-10-22,54.79,54.86,54.125,54.28,16645725
2018-10-19,54.08,54.85,54.08,54.69,28312362
2018-10-18,53.6,54.08,53.3,53.47,19370259
2018-10-17,53.24,53.66,53.05,53.54,15837833
2018-10-16,52.83,53.37,52.635,53.29,15468550
2018-10-15,52.23,53.08,52.23,52.7,15892032
2018-10-12,52.31,52.555,51.92,52.38,26263004
2018-10-11,53.26,53.54,51.92,52.09,44523284
2018-10-10,53.88,54.29,53.32,53.41,26121647
2018-10-09,54.2,54.315,53.93,54.06,13477212
2018-10-08,53.39,54.245,53.39,54.18,14908292
2018-10-05,53.38,53.65,53.36,53.44,13903111
2018-10-04,53.47,53.5678,53.09,53.49,19963964
2018-10-03,54.32,54.38,53.55,53.62,15192931
2018-10-02,53.86,54.315,53.73,54.2,9592449
2018-10-01,54.01,54.0899,53.83,53.89,8725512
2018-09-28,53.79,54,53.7399,53.93,9249865
2018-09-27,53.74,54.2,53.59,53.85,8892818
2018-09-26,54.02,54.33,53.85,53.92,10369932
2018-09-25,54.34,54.46,53.83,53.86,8348587
2018-09-24,54.83,54.95,54.135,54.18,10648724
2018-09-21,55.02,55.11,54.905,55.02,10307917
2018-09-20,54.78,55.33,54.78,55.32,11817827
2018-09-19,54.68,54.91,54.55,54.63,7791898
2018-09-18,54.91,54.93,54.51,54.73,15638469
2018-09-17,54.72,54.98,54.6,54.96,10279565
